measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
fedavg-ctk,report-json,contrast-macro,,federation-wide,0.05,10,0.15259555923147658,0.22631120485925357,-0.07371564562777701,-0.09298795542909673,1,-0.10037320853958279,-0.04073261504988707,0.005859375,1.0,,0.03,false,true,false
fedavg-ctk,report-json,contrast-macro,,own-domain,0.05,10,0.09634106385521164,0.15687018127993624,-0.060529117424724596,-0.09005571970159593,4,-0.1658084148567875,0.034014497142455365,0.375,0.9345703125,,0.03,false,false,false
fedavg-ctk,report-json,family,adwo,federation-wide,0.05,10,0.03386992812782556,0.06494281472118532,-0.031072886593359772,-0.02424118396695909,1,-0.05794949340728243,-0.012744572215355007,0.01953125,1.0,,0.03,false,true,false
fedavg-ctk,report-json,family,adwo,own-domain,0.05,8,0.018903587762294168,0.08647646055905986,-0.06757287279676569,-0.05037828215398307,0,-0.10317525040992508,-0.04209069113935486,0.0078125,1.0,,0.03,false,true,false
fedavg-ctk,report-json,family,airpush,federation-wide,0.05,10,0.27728810728130215,0.3065825986072833,-0.02929449132598117,-0.061226165430711965,3,-0.0784462034200005,0.03004672483233106,0.375,0.9677734375,,0.03,false,false,false
fedavg-ctk,report-json,family,airpush,own-domain,0.05,10,0.156769171654246,0.235415812040123,-0.07864664038587701,-0.0379936808846761,3,-0.2503013115916342,0.060472667746880523,0.4921875,0.8388671875,,0.03,false,false,false
fedavg-ctk,report-json,family,dowgin,federation-wide,0.05,10,0.09854289788501283,0.017060042440503485,0.08148285544450937,0.10227713850499259,8,0.017264979247064948,0.129714754058866,0.01953125,0.0966796875,,0.03,false,false,false
fedavg-ctk,report-json,family,dowgin,own-domain,0.05,9,0.05262247278810071,-0.031443844936498426,0.08406631772459915,0.07182320441988951,7,0.018782691236027087,0.19055906530728822,0.07421875,0.1796875,,0.03,false,false,false
fedavg-ctk,report-json,family,gappusin,federation-wide,0.05,10,0.209440793016118,0.1546333909422769,0.05480740207384114,0.07801336893184962,8,-0.0480390336010473,0.12381245677709976,0.10546875,0.1875,,0.03,false,false,false
fedavg-ctk,report-json,family,gappusin,own-domain,0.05,6,0.1441290852165176,0.09330232944685168,0.05082675576966592,0.06654411764705882,4,-0.00009173887909160377,0.0999591503267974,0.15625,0.421875,,0.03,false,false,false
fedavg-ctk,report-json,family,hiddad,federation-wide,0.05,10,0.022182037487206062,0.08833766986435496,-0.06615563237714887,-0.045106171201061765,2,-0.21212804671205893,-0.0051059039870758795,0.130859375,0.9931640625,,0.03,false,true,false
fedavg-ctk,report-json,family,hiddad,own-domain,0.05,8,0.02951236997434899,0.015457505679177655,0.014054864295171336,0.01458333333333331,4,-0.05386229466825217,0.08116549174896551,0.84375,0.6796875,,0.03,false,false,false
fedavg-ctk,report-json,family,leadbolt,federation-wide,0.05,10,0.08195567252811471,0.3552909735299739,-0.2733353010018592,-0.28596236749638293,0,-0.33839414558082503,-0.21865429049394514,0.001953125,1.0,,0.03,false,true,false
fedavg-ctk,report-json,family,leadbolt,own-domain,0.05,7,0.0626810048910356,0.26111768340569197,-0.19843667851465632,-0.19230769230769235,0,-0.27859205861093245,-0.1460905718496232,0.015625,1.0,,0.03,false,true,false
fedavg-ctk,report-json,family,revmob,federation-wide,0.05,10,0.09268905935936575,0.25792375630485254,-0.1652346969454868,-0.18371795479315736,1,-0.21214642895302316,-0.0939989244456403,0.00390625,1.0,,0.03,false,true,false
fedavg-ctk,report-json,family,revmob,own-domain,0.05,8,0.034983660130718956,0.18387254901960784,-0.1488888888888889,-0.06777777777777777,0,-0.30861111111111117,-0.0611111111111111,0.03125,1.0,,0.03,false,true,false
fedavg-ctk,report-json,priority-macro,,federation-wide,0.05,10,0.10810396328756329,0.16696493903716145,-0.058860975749598164,-0.046144116684464886,0,-0.09052752648910986,-0.040130647792435296,0.001953125,1.0,,0.03,false,true,false
fedavg-ctk,report-json,priority-macro,,own-domain,0.05,9,0.05506776841402328,0.08912893872317866,-0.03406117030915537,-0.03333333333333338,2,-0.062005359056533274,-0.006390082100291673,0.07421875,0.998046875,,0.03,false,true,false
