experiment,seed,client,family,population,trials,peer_support,target_support_peer_present,target_support_full,centroid-distance-to-known-malware,nearest-known-family-distance,max-jaccard-to-known-family,fraction-active-features-known,distance-to-benign-centroid,learner,local_recall,peer_recall,absent_recall,full_recall,central_full_recall,ctk,pooling,total,headroom,residual_gap,evidence_class
controlled-exposure,106,appchina,dowgin,federation-wide,6190,1557,0,80,2.963900593546649,1.9756299517842257,0.5855855855855856,0.5789473684210527,2.2641837367737616,fedavg-finetune,0.5841680129240711,0.6003231017770597,0.6930533117932148,0.6179321486268174,0.7720516962843296,-0.09273021001615511,0.10888529886914378,0.016155088852988664,0.03376413570274639,0.017609046849757726,C-post-confirmatory-evidence-preserving
controlled-exposure,106,appchina,gappusin,own-domain,1143,96,0,395,2.757440299350274,1.4144800625290253,0.6595744680851063,0.704225352112676,1.6916326696238444,fedavg-finetune,0.24234470691163604,0.16535433070866143,0.17760279965004375,0.20822397200349957,0.3858267716535433,-0.012248468941382318,-0.06474190726159229,-0.07699037620297461,-0.03412073490813647,0.04286964129483814,C-post-confirmatory-evidence-preserving
controlled-exposure,106,appchina,gappusin,federation-wide,1509,96,0,395,2.757440299350274,1.4144800625290253,0.6595744680851063,0.704225352112676,1.6916326696238444,fedavg-finetune,0.24254473161033796,0.16169648774022533,0.1756129887342611,0.19681908548707752,0.3605036447978794,-0.013916500994035769,-0.06693174287607687,-0.08084824387011263,-0.04572564612326044,0.0351225977468522,C-post-confirmatory-evidence-preserving
controlled-exposure,106,appchina,revmob,own-domain,19,49,0,6,4.95227379357265,2.794751629754864,0.5806451612903226,0.23648648648648649,3.5531588039550406,fedavg-finetune,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.10526315789473684,-0.10526315789473684,0.0,-0.05263157894736842,-0.05263157894736842,C-post-confirmatory-evidence-preserving
controlled-exposure,106,appchina,revmob,federation-wide,540,49,0,6,4.95227379357265,2.794751629754864,0.5806451612903226,0.23648648648648649,3.5531588039550406,fedavg-finetune,0.06851851851851852,0.2111111111111111,0.1259259259259259,0.18518518518518517,0.1648148148148148,0.0851851851851852,0.05740740740740739,0.1425925925925926,0.11666666666666665,-0.025925925925925936,C-post-confirmatory-evidence-preserving
controlled-exposure,106,appchina,hiddad,own-domain,17,32,0,2,5.873925294948878,4.834028059154069,0.35986159169550175,0.18796992481203006,5.211489646757708,fedavg-finetune,0.8235294117647058,0.5882352941176471,0.7058823529411765,0.6470588235294118,0.7058823529411765,-0.11764705882352944,-0.11764705882352933,-0.23529411764705876,-0.17647058823529405,0.05882352941176472,C-post-confirmatory-evidence-preserving
controlled-exposure,106,appchina,hiddad,federation-wide,313,32,0,2,5.873925294948878,4.834028059154069,0.35986159169550175,0.18796992481203006,5.211489646757708,fedavg-finetune,0.46645367412140576,0.4504792332268371,0.4185303514376997,0.476038338658147,0.33226837060702874,0.03194888178913741,-0.04792332268370608,-0.015974440894568676,0.009584664536741228,0.025559105431309903,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,dowgin,own-domain,14,1698,0,2,3.7990690479748586,2.006122221578444,0.5196850393700787,0.6363636363636364,3.5087675251094006,fedavg-finetune,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.0714285714285714,-0.0714285714285714,0.0,0.0,0.0,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,dowgin,federation-wide,5755,1698,0,2,3.7990690479748586,2.006122221578444,0.5196850393700787,0.6363636363636364,3.5087675251094006,fedavg-finetune,0.731537793223284,0.9146828844483058,0.89748045178106,0.8927888792354475,0.9876629018245004,0.01720243266724586,0.1659426585577759,0.18314509122502176,0.16125108601216342,-0.021894005212858336,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,airpush,own-domain,2463,155,0,163,3.5089207879910416,2.116957706174709,0.6785714285714286,0.6875,3.321195631708033,fedavg-finetune,0.8010556232237109,0.8063337393422655,0.8116118554608202,0.877791311408851,0.7807551766138855,-0.0052781161185546654,0.01055623223710922,0.005278116118554554,0.0767356881851401,0.07145757206658554,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,airpush,federation-wide,3019,155,0,163,3.5089207879910416,2.116957706174709,0.6785714285714286,0.6875,3.321195631708033,fedavg-finetune,0.8257701225571381,0.8323948327260683,0.8380258363696588,0.8936734017886717,0.813183173236171,-0.005631003643590482,0.012255713812520663,0.006624710168930181,0.06790327923153361,0.06127856906260343,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,adwo,own-domain,25,346,0,0,4.059671381333424,2.4151592546462863,0.5565217391304348,0.5862068965517241,3.972222254958133,fedavg-finetune,0.96,0.92,0.96,0.96,0.92,-0.039999999999999925,0.0,-0.039999999999999925,0.0,0.039999999999999925,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,adwo,federation-wide,955,346,0,0,4.059671381333424,2.4151592546462863,0.5565217391304348,0.5862068965517241,3.972222254958133,fedavg-finetune,0.8890052356020942,0.9151832460732985,0.8827225130890053,0.900523560209424,0.9581151832460733,0.032460732984293195,-0.006282722513088923,0.02617801047120427,0.011518324607329822,-0.01465968586387445,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,hiddad,own-domain,94,26,0,8,4.356709244538861,3.9091998957365584,0.41641337386018235,0.3024054982817869,3.9814147967842852,fedavg-finetune,0.43617021276595747,0.4787234042553192,0.5212765957446809,0.5425531914893617,0.46808510638297873,-0.04255319148936171,0.08510638297872342,0.04255319148936171,0.10638297872340419,0.06382978723404248,C-post-confirmatory-evidence-preserving
controlled-exposure,107,play-early,hiddad,federation-wide,551,26,0,8,4.356709244538861,3.9091998957365584,0.41641337386018235,0.3024054982817869,3.9814147967842852,fedavg-finetune,0.1397459165154265,0.17604355716878403,0.18330308529945555,0.18874773139745918,0.19056261343012704,-0.0072595281306715165,0.04355716878402904,0.03629764065335753,0.049001814882032674,0.012704174228675147,C-post-confirmatory-evidence-preserving
controlled-exposure,107,appchina,gappusin,own-domain,937,80,0,383,2.717967272919073,1.350476371274089,0.7195121951219512,0.7222222222222222,1.6433452660183616,fedavg-finetune,0.327641408751334,0.2892209178228389,0.26360725720384204,0.37780149413020275,0.6392742796157951,0.025613660618996836,-0.06403415154749198,-0.03842049092849514,0.050160085378868735,0.08858057630736388,C-post-confirmatory-evidence-preserving
controlled-exposure,107,appchina,gappusin,federation-wide,1272,80,0,383,2.717967272919073,1.350476371274089,0.7195121951219512,0.7222222222222222,1.6433452660183616,fedavg-finetune,0.35691823899371067,0.2578616352201258,0.23977987421383648,0.33176100628930816,0.595125786163522,0.018081761006289304,-0.11713836477987419,-0.09905660377358488,-0.02515723270440251,0.07389937106918237,C-post-confirmatory-evidence-preserving
controlled-exposure,107,appchina,leadbolt,own-domain,74,89,0,26,4.092039368032953,2.357676480540393,0.5769230769230769,0.3684210526315789,2.6616160404351756,fedavg-finetune,0.4594594594594595,0.5675675675675675,0.5135135135135135,0.5945945945945946,0.7297297297297297,0.05405405405405406,0.054054054054054,0.10810810810810806,0.13513513513513514,0.027027027027027084,C-post-confirmatory-evidence-preserving
controlled-exposure,107,appchina,leadbolt,federation-wide,759,89,0,26,4.092039368032953,2.357676480540393,0.5769230769230769,0.3684210526315789,2.6616160404351756,fedavg-finetune,0.2648221343873518,0.45849802371541504,0.2898550724637681,0.6363636363636364,0.5968379446640316,0.1686429512516469,0.025032938076416322,0.19367588932806323,0.37154150197628455,0.17786561264822132,C-post-confirmatory-evidence-preserving
controlled-exposure,107,appchina,revmob,own-domain,23,47,0,11,5.070039915232185,3.2911416290267845,0.5081081081081081,0.272108843537415,3.78885646342401,fedavg-finetune,0.08695652173913043,0.2608695652173913,0.13043478260869565,0.34782608695652173,0.34782608695652173,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.2608695652173913,0.08695652173913043,C-post-confirmatory-evidence-preserving
