set,learner,population,alpha,role,dose,n,mean_ctk,ci_low,ci_high,positive_seeds,evidence_class
replication-set,fedavg,federation-wide,0.05,PRIMARY,100,10,0.07762810156213001,0.05197594959288919,0.11304964519104879,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,200,10,0.10631381550031702,0.07562170934845559,0.15427965644598854,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,natural,10,0.08125582065549405,0.055523109425409264,0.12911784748842042,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,10,10,0.054867091482704286,0.023509441187019746,0.09133944015794115,9,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,25,10,0.0651301722619512,0.03974320064327549,0.0974398468046651,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,50,10,0.09001033473037381,0.057970546081665485,0.12094423704674725,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,100,10,0.1251358777490299,0.08651039424408813,0.16930638427782835,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,200,10,0.13815329552593755,0.10259844206302045,0.16663915773485455,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,natural,10,0.10790152631220366,0.0775612877297982,0.14531203190404765,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,10,10,0.004755858237113574,-0.0029324026001485513,0.012745867858578251,6,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,25,10,0.010194092312680994,0.001960669701554798,0.022474649064558858,8,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,50,10,0.008798427264166842,-0.0019612743124131212,0.020528870936488725,8,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,100,10,0.026281659659937506,0.014896939437933686,0.03826860510183362,9,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,200,10,0.034971754399581764,0.02248093693030641,0.05201853007055803,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,natural,10,0.02846681933433326,0.02066975214689224,0.04000378261447993,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,10,10,0.012342620605001632,0.0015727064763325952,0.021569069285644712,8,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,25,10,0.01741146639342769,0.0010117499083117508,0.03292362504318582,7,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,50,10,0.0391649969880346,0.021439333525902486,0.05361087855635529,8,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,100,10,0.10007295302390877,0.05901384942225418,0.15618360124392933,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,200,10,0.1251553737947563,0.07118228739338253,0.19623160395263667,9,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,natural,10,0.07454915509349136,0.04451871597992623,0.126402400184699,9,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,10,10,0.07206527577374827,0.02857924997910046,0.12506757167860863,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,25,10,0.08731812507908993,0.04376654551284159,0.13917132340091087,9,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,50,10,0.13194878704622112,0.07872724378260597,0.17962988420588127,10,D-post-hoc-diagnostic
