set,population,alpha,cells,outcome,predictor,spearman_rho,p_value,evidence_class
replication-set,federation-wide,0.05,73,trim_minus_mean,peer_rows,-0.02594556476662953,0.8275151923849545,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,73,med_minus_mean,top_share,0.2231124896384085,0.05777987156215562,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,73,med_minus_mean,n_peers,-0.17238653400708823,0.14473240621320718,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,73,med_minus_mean,n_peers30,0.15508398946233426,0.1901584143467409,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,73,med_minus_mean,peer_rows,0.20673052682379323,0.07928827733518258,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,placebo_eff,centroid_distance,0.22093095227156198,0.06033503627357304,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,placebo_eff,placebo_rank,0.09267496442093759,0.4354915052853641,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,placebo_eff,nearest_known_distance,0.1948645012197878,0.09852120900911035,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,placebo_eff,fit_ratio,0.001530592321545461,0.9897461275593082,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,placebo_eff,centroid-distance-to-known-malware,0.12795133386980037,0.28068156817782586,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,placebo_eff,max-jaccard-to-known-family,0.09803579916911215,0.4092856229958636,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,trim_minus_mean,top_share,-0.005592032046802845,0.9625498488821473,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,trim_minus_mean,n_peers,-0.054536072076577104,0.6467689749164218,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,trim_minus_mean,n_peers30,-0.06540853328778361,0.582460394867789,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,trim_minus_mean,peer_rows,0.02647676772535513,0.824039807699633,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,med_minus_mean,top_share,-0.03618123451779427,0.7612067021528122,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,med_minus_mean,n_peers,0.0703365413743578,0.5543084527229207,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,med_minus_mean,n_peers30,0.18099856251133017,0.1254118110772247,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,med_minus_mean,peer_rows,0.33760944238674384,0.0034887051343801944,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,placebo_eff,centroid_distance,0.2171229081410072,0.09563528769749202,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,placebo_eff,placebo_rank,0.19892343605817853,0.12758029454948194,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,placebo_eff,nearest_known_distance,0.1767873528392989,0.1766143834154334,D-post-hoc-diagnostic
