set,population,alpha,client,seeds,placebo_eff_mean,placebo_eff_lo,placebo_eff_hi,ctk_minus_pl_mean,ctk_minus_pl_lo,ctk_minus_pl_hi,evidence_class
primary-set,own-domain,0.05,play-late,7,-0.033475875309611075,-0.16962591488208187,0.041176490396311105,0.40542652809696256,0.19704768814742546,0.6649318242320942,D-post-hoc-diagnostic
primary-set,own-domain,0.1,anzhi,7,-0.005657635985584585,-0.023312972983306545,0.007907646651369424,0.06773934459994192,0.02917872445411373,0.10880811185229211,D-post-hoc-diagnostic
primary-set,own-domain,0.1,appchina,10,-0.00390776496840223,-0.04362421789382134,0.02216720718009157,0.059467714096313906,0.03388166238649883,0.09330369787838007,D-post-hoc-diagnostic
primary-set,own-domain,0.1,play-early,9,0.0003727684989348882,-0.017209595477350795,0.012418137362608644,0.04803420779631246,0.009521054228957992,0.09121789695031138,D-post-hoc-diagnostic
primary-set,own-domain,0.1,play-late,7,0.006471389274133722,-0.04218630224070067,0.07206620338350296,0.3641004713413699,0.18776493885544893,0.587747749871337,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,anzhi,10,0.0013065208011792432,-0.007985684966425715,0.005768502061825425,-0.00011452322174994164,-0.003004911747291795,0.0036972606884985,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,appchina,10,0.006789793227970806,-0.00220857568177071,0.018212971252283765,0.02778748045511643,0.006145890565588849,0.0582905903447767,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,play-early,10,-0.0027755266411781943,-0.014493564113101222,0.010701666797419181,0.09859724029406232,0.05738583173851235,0.19610883772841675,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,play-late,6,0.005398079074009225,-0.019584172793867843,0.03383063697768609,0.155015621169855,0.0890603542845454,0.2165460500881884,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,anzhi,10,0.009885299218787454,-0.003289461189505215,0.033679237318114556,0.018607067053480676,-0.011107531934660015,0.049095464964866296,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,appchina,10,-0.009417245768324863,-0.051222374209030135,0.02423731789946272,0.03652769243845653,0.010073103630420686,0.07147866023994745,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,play-early,10,0.002006969347592534,-0.021518239205912688,0.015216470799551924,0.12644838925802654,0.08231723365001586,0.18492241332911658,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,play-late,6,0.009001180181714715,-0.011829475793443381,0.028789900020794606,0.07123108925252192,0.05541113917862275,0.09558949864772286,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,anzhi,10,-0.00884409204089523,-0.020210113708990764,0.0023857176052615742,0.25452332877756223,0.15113814175405887,0.36898416272886914,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,appchina,10,-0.02085281750704071,-0.0764078451502353,0.0027588363742426973,0.13718471161691193,0.05438803029952703,0.2829455805793408,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,play-early,10,0.010245008728104734,0.00007054259736931365,0.017269968138041054,0.07718308266241707,0.051032768384622174,0.10838504207554367,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,play-late,6,0.011792803243466599,-0.006068555152501043,0.025289925966857963,0.04998312109998581,0.03226608186340335,0.07555731158558518,D-post-hoc-diagnostic
replication-set,own-domain,0.01,anzhi,10,0.0012859292379286008,-0.00006197620006132953,0.0059238665047946755,-0.001929343528692783,-0.005224795418223967,-0.00012317994313638725,D-post-hoc-diagnostic
replication-set,own-domain,0.01,appchina,10,0.009430293345543201,0.002455146447515789,0.021151292062915876,0.021244624371258607,-0.004474985660865551,0.06567281561932752,D-post-hoc-diagnostic
replication-set,own-domain,0.01,play-early,9,-0.021315819361875578,-0.05815747445790821,0.0005646620008672882,0.024122998345406918,-0.09421186199429665,0.07312281910924036,D-post-hoc-diagnostic
replication-set,own-domain,0.01,play-late,4,,,,,,,D-post-hoc-diagnostic
replication-set,own-domain,0.05,anzhi,10,-0.01088359617070149,-0.029830964591754116,0.004034658470883747,0.01915481501073513,-0.012357006696792287,0.08996147020349128,D-post-hoc-diagnostic
replication-set,own-domain,0.05,appchina,10,0.007120375468142167,-0.03490084728387223,0.07502881090650947,0.03204215163233361,0.01306986102659735,0.0624865200005763,D-post-hoc-diagnostic
replication-set,own-domain,0.05,play-early,9,0.013345701289333382,-0.014701012434225127,0.046131217639476044,0.05900700601667898,0.018070561420672326,0.08873487991242605,D-post-hoc-diagnostic
replication-set,own-domain,0.05,play-late,4,,,,,,,D-post-hoc-diagnostic
replication-set,own-domain,0.1,anzhi,10,-0.0215754023552558,-0.053514961733512875,-0.00042872734498565664,0.3436483122078821,0.20291907647139792,0.482379291561132,D-post-hoc-diagnostic
