scope,population,alpha,seed,difference,learner,contrast,level
primary-set,own-domain,0.01,325,-0.009722644649953038,fedavg,placebo-effect,
primary-set,federation-wide,0.01,325,-0.002878521236011289,fedavg,placebo-effect,
primary-set,own-domain,0.05,325,-0.018744820091014913,fedavg,placebo-effect,
primary-set,federation-wide,0.05,325,-0.023064039412655946,fedavg,placebo-effect,
primary-set,own-domain,0.1,325,-0.00899491545749953,fedavg,placebo-effect,
primary-set,federation-wide,0.1,325,-0.016266367002318205,fedavg,placebo-effect,
primary-set,own-domain,0.01,326,-0.013201689008221551,fedavg,placebo-effect,
primary-set,federation-wide,0.01,326,0.0042086628798085335,fedavg,placebo-effect,
primary-set,own-domain,0.05,326,0.026396012488309473,fedavg,placebo-effect,
primary-set,federation-wide,0.05,326,-0.0015319663980558618,fedavg,placebo-effect,
primary-set,own-domain,0.1,326,0.011186878504047426,fedavg,placebo-effect,
primary-set,federation-wide,0.1,326,-0.015816149559622072,fedavg,placebo-effect,
primary-set,own-domain,0.01,327,-0.012966481410234348,fedavg,placebo-effect,
primary-set,federation-wide,0.01,327,0.01291637466840767,fedavg,placebo-effect,
primary-set,own-domain,0.05,327,-0.0057742171322071045,fedavg,placebo-effect,
primary-set,federation-wide,0.05,327,0.013554739241637137,fedavg,placebo-effect,
primary-set,own-domain,0.1,327,0.01967846349411273,fedavg,placebo-effect,
primary-set,federation-wide,0.1,327,0.03141295428431867,fedavg,placebo-effect,
primary-set,own-domain,0.01,328,-0.0071306513035835906,fedavg,placebo-effect,
primary-set,federation-wide,0.01,328,-0.0006287540410833126,fedavg,placebo-effect,
primary-set,own-domain,0.05,328,-0.0009852824702447638,fedavg,placebo-effect,
primary-set,federation-wide,0.05,328,0.017536439003022042,fedavg,placebo-effect,
primary-set,own-domain,0.1,328,0.005306556434376164,fedavg,placebo-effect,
primary-set,federation-wide,0.1,328,-0.0017652448700481438,fedavg,placebo-effect,
primary-set,own-domain,0.01,329,0.0052655912568270735,fedavg,placebo-effect,
primary-set,federation-wide,0.01,329,-0.005349402469115222,fedavg,placebo-effect,
primary-set,own-domain,0.05,329,0.003999655589618567,fedavg,placebo-effect,
primary-set,federation-wide,0.05,329,-0.02138840157817984,fedavg,placebo-effect,
primary-set,own-domain,0.1,329,0.03923305388549714,fedavg,placebo-effect,
primary-set,federation-wide,0.1,329,-0.01462529876881602,fedavg,placebo-effect,
replication-set,own-domain,0.01,320,0.0050637509001547065,fedavg,placebo-effect,
replication-set,federation-wide,0.01,320,0.005260534578157117,fedavg,placebo-effect,
replication-set,own-domain,0.05,320,-0.07537617544986747,fedavg,placebo-effect,
replication-set,federation-wide,0.05,320,-0.03445153673358947,fedavg,placebo-effect,
replication-set,own-domain,0.1,320,-0.036241751643372844,fedavg,placebo-effect,
replication-set,federation-wide,0.1,320,-0.01853103429119285,fedavg,placebo-effect,
replication-set,own-domain,0.01,321,-0.0023072528063453335,fedavg,placebo-effect,
replication-set,federation-wide,0.01,321,0.008499828209914073,fedavg,placebo-effect,
replication-set,own-domain,0.05,321,-0.016445087815323722,fedavg,placebo-effect,
replication-set,federation-wide,0.05,321,0.005753324308590491,fedavg,placebo-effect,
replication-set,own-domain,0.1,321,-0.01993014451021169,fedavg,placebo-effect,
replication-set,federation-wide,0.1,321,0.005297714778802032,fedavg,placebo-effect,
replication-set,own-domain,0.01,322,0.008960508748280777,fedavg,placebo-effect,
replication-set,federation-wide,0.01,322,0.0006117422317042653,fedavg,placebo-effect,
replication-set,own-domain,0.05,322,0.014237617467274422,fedavg,placebo-effect,
replication-set,federation-wide,0.05,322,0.018364261183743513,fedavg,placebo-effect,
replication-set,own-domain,0.1,322,0.009000586942933764,fedavg,placebo-effect,
replication-set,federation-wide,0.1,322,-0.01344184619211708,fedavg,placebo-effect,
replication-set,own-domain,0.01,323,-0.017303115882287612,fedavg,placebo-effect,
replication-set,federation-wide,0.01,323,-0.004845330001153586,fedavg,placebo-effect,
replication-set,own-domain,0.05,323,0.04974014744292604,fedavg,placebo-effect,
replication-set,federation-wide,0.05,323,0.013894500936747378,fedavg,placebo-effect,
replication-set,own-domain,0.1,323,0.01153076012252685,fedavg,placebo-effect,
replication-set,federation-wide,0.1,323,0.019903572223486488,fedavg,placebo-effect,
replication-set,own-domain,0.01,324,-0.0004241017373023126,fedavg,placebo-effect,
replication-set,federation-wide,0.01,324,0.0017715195036133446,fedavg,placebo-effect,
replication-set,own-domain,0.05,324,-0.0028970360295356157,fedavg,placebo-effect,
replication-set,federation-wide,0.05,324,0.019036491916311238,fedavg,placebo-effect,
replication-set,own-domain,0.1,324,0.003102300295075966,fedavg,placebo-effect,
replication-set,federation-wide,0.1,324,0.006879837315822979,fedavg,placebo-effect,
replication-set,own-domain,0.01,325,0.013426967979729046,fedavg,placebo-effect,
replication-set,federation-wide,0.01,325,0.010193970094380278,fedavg,placebo-effect,
replication-set,own-domain,0.05,325,-0.0021564388026383274,fedavg,placebo-effect,
replication-set,federation-wide,0.05,325,-0.008681962267764964,fedavg,placebo-effect,
replication-set,own-domain,0.1,325,0.00012045615827827039,fedavg,placebo-effect,
replication-set,federation-wide,0.1,325,0.0035262913695888187,fedavg,placebo-effect,
replication-set,own-domain,0.01,326,0.01070649590438133,fedavg,placebo-effect,
replication-set,federation-wide,0.01,326,0.015290379349605615,fedavg,placebo-effect,
replication-set,own-domain,0.05,326,-0.012860390546809763,fedavg,placebo-effect,
replication-set,federation-wide,0.05,326,-0.008208135021638918,fedavg,placebo-effect,
replication-set,own-domain,0.1,326,-0.013160805377576357,fedavg,placebo-effect,
replication-set,federation-wide,0.1,326,-0.016179886369960705,fedavg,placebo-effect,
replication-set,own-domain,0.01,327,-0.008126744785734608,fedavg,placebo-effect,
replication-set,federation-wide,0.01,327,-0.005269524978781637,fedavg,placebo-effect,
replication-set,own-domain,0.05,327,0.010809431854950424,fedavg,placebo-effect,
replication-set,federation-wide,0.05,327,0.0020685967648412795,fedavg,placebo-effect,
replication-set,own-domain,0.1,327,-0.02444169309829536,fedavg,placebo-effect,
replication-set,federation-wide,0.1,327,-0.0067228291604707335,fedavg,placebo-effect,
replication-set,own-domain,0.01,328,-0.06927433361020918,fedavg,placebo-effect,
replication-set,federation-wide,0.01,328,-0.008008512514703664,fedavg,placebo-effect,
replication-set,own-domain,0.05,328,-0.011411787079687041,fedavg,placebo-effect,
replication-set,federation-wide,0.05,328,0.0013516703481510906,fedavg,placebo-effect,
replication-set,own-domain,0.1,328,-0.011726950086838328,fedavg,placebo-effect,
replication-set,federation-wide,0.1,328,-0.004314593333776706,fedavg,placebo-effect,
replication-set,federation-wide,0.01,329,0.008323452418397048,fedavg,placebo-effect,
replication-set,federation-wide,0.05,329,-0.00560255424966416,fedavg,placebo-effect,
replication-set,federation-wide,0.1,329,-0.003979716570585823,fedavg,placebo-effect,
replication-set,own-domain,0.01,329,-0.0014952153110047856,fedavg,placebo-effect,
replication-set,own-domain,0.05,329,-0.05528973950026583,fedavg,placebo-effect,
replication-set,own-domain,0.1,329,-0.034960244617642855,fedavg,placebo-effect,
pooled-family-sets,own-domain,0.01,320,0.013993944350564308,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,federation-wide,0.01,320,0.051044703895469945,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,own-domain,0.05,320,0.05479506917028676,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,federation-wide,0.05,320,0.0613702972960804,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,own-domain,0.1,320,0.11274542890832373,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,federation-wide,0.1,320,0.08804021235888915,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,own-domain,0.01,321,0.0702228318423894,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,federation-wide,0.01,321,0.05703950585688275,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,own-domain,0.05,321,0.15178603483248504,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,federation-wide,0.05,321,0.14496820858430054,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,own-domain,0.1,321,0.21825856618123007,fedavg,ctk-minus-placebo-effect,
pooled-family-sets,federation-wide,0.1,321,0.209878426702944,fedavg,ctk-minus-placebo-effect,
