set,population,family,dose,seeds,mean_ctk,ci_low,ci_high,evidence_class
replication-set,federation-wide,inmobi,natural,10,0.20473171215433278,0.13562534624173186,0.31580671968024854,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,10,10,0.004159278493147728,-0.02486425830695798,0.023107455056570483,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,100,10,-0.01447520694342191,-0.06641215004559411,0.01339087351282061,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,200,10,-0.013335998666755916,-0.055197849078482894,0.02933830438230051,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,25,10,-0.009929586599488333,-0.0374784432394675,0.015804519974158465,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,50,10,-0.014929854089063499,-0.059837043433419,0.016897306554911916,D-post-hoc-diagnostic
replication-set,federation-wide,kuguo,natural,10,0.028453247604564476,-0.01961275209031884,0.06754828971649735,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,10,10,0.005303669953610768,-0.007259300337785227,0.028048707968693097,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,100,10,0.030428860196488994,0.004905765279916197,0.051466679775072834,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,200,10,0.0671197766257399,0.045450755126279704,0.08166350314856466,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,25,10,0.001247186378957893,-0.011088765612608043,0.011761419492493855,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,50,10,0.022004023244630147,0.005264982079221065,0.037818588692080095,D-post-hoc-diagnostic
replication-set,federation-wide,smsreg,natural,10,0.06232320260005354,0.04504447419608825,0.09344737743747977,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,0,9,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,10,9,0.020818019210036266,0.0,0.0726726616354667,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,100,9,0.3173147707286576,0.11946972461702496,0.596098631359185,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,200,9,0.31256563226250894,0.10890398178521599,0.6107217344922725,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,25,9,0.02231952071153777,0.003003003003003003,0.0726726616354667,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,50,9,0.05025394009332557,0.017019813109198586,0.10232386716325265,D-post-hoc-diagnostic
replication-set,federation-wide,utchi,natural,9,0.09757719873048523,-0.0260304256302772,0.44299037864680313,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,10,10,0.0021474177344725023,-0.009761680025248716,0.014526649771695576,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,100,10,0.04651885289864185,0.010727226257738986,0.08629772003648188,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,200,10,0.07865897807613997,0.03690793524730388,0.12771642776163805,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,25,10,0.014199678024385176,-0.0006254508375672189,0.030991820193038876,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,50,10,0.03115159344407405,0.009904958388024531,0.05313532197059177,D-post-hoc-diagnostic
replication-set,federation-wide,youmi,natural,10,0.06025558263984594,0.019738238093903467,0.10453739235648081,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,0,8,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,10,8,-0.006055011547845296,-0.031949499409207806,0.022443125977689694,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,100,8,-0.027514880433802014,-0.07012461266167493,0.021189457221074542,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,200,8,-0.0190364534227426,-0.0416643218700914,0.010386859600619566,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,25,8,-0.01692333285066016,-0.0381590498605282,0.023396345015956752,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,50,8,-0.01976374599573126,-0.05557974536193244,0.019675387583666146,D-post-hoc-diagnostic
replication-set,federation-wide,zdtad,natural,8,0.00531993647134163,-0.0505396249592263,0.07659092507515661,D-post-hoc-diagnostic
primary-set,own-domain,adwo,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,own-domain,adwo,10,10,0.017257921402876845,-0.025709688046141745,0.04285714438906865,D-post-hoc-diagnostic
primary-set,own-domain,adwo,100,10,0.0687296486066034,0.04003469708150598,0.12332116237574896,D-post-hoc-diagnostic
primary-set,own-domain,adwo,200,10,0.09052066618618235,0.05963948595619013,0.12284086870307362,D-post-hoc-diagnostic
primary-set,own-domain,adwo,25,10,0.030639441431461932,0.015399277092901302,0.045466007923831556,D-post-hoc-diagnostic
primary-set,own-domain,adwo,50,10,0.05453718027480544,0.03305677117752808,0.07679135046438165,D-post-hoc-diagnostic
primary-set,own-domain,adwo,natural,10,0.07919950493648391,0.04921428260286726,0.11315390415493935,D-post-hoc-diagnostic
primary-set,own-domain,airpush,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,own-domain,airpush,10,10,0.023632861709063608,0.00753246302872009,0.05186676277978099,D-post-hoc-diagnostic
primary-set,own-domain,airpush,100,10,0.11283566577161326,0.04059233449477352,0.3046899378193782,D-post-hoc-diagnostic
primary-set,own-domain,airpush,200,10,0.12406380963931984,0.043518974473287515,0.34937127707195537,D-post-hoc-diagnostic
primary-set,own-domain,airpush,25,10,0.027430504781525332,0.0127636163579681,0.04592812076896966,D-post-hoc-diagnostic
primary-set,own-domain,airpush,50,10,0.04662461832098532,0.020588144156851583,0.08108320220668998,D-post-hoc-diagnostic
primary-set,own-domain,airpush,natural,10,0.07508208500843268,0.032604728204943055,0.12286048906375119,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,10,10,-0.0016971426205638963,-0.01220927642372826,0.009183610806162788,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,100,10,-0.016744323044828657,-0.06408694600363028,0.016362122234100687,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,200,10,-0.036084755503947546,-0.09137516938317493,0.006924038872081535,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,25,10,-0.006454300345959058,-0.04962042490943986,0.009697978970231096,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,50,10,-0.01796974449010086,-0.058296738743134,0.008828300809487238,D-post-hoc-diagnostic
primary-set,own-domain,dowgin,natural,10,-0.0294614106712822,-0.06806017672217338,-0.0006237953260495396,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,10,10,0.018202141381888165,0.007974921784414233,0.03276643981044662,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,100,10,0.027027783195115708,0.017170246336542894,0.04068722869102996,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,200,10,0.038643254684505045,0.01859391803124099,0.06304587099761155,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,25,10,0.03021130271598413,0.012612657609110716,0.05290833519564414,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,50,10,0.03691008736472349,0.014948412662753251,0.08537449516222305,D-post-hoc-diagnostic
primary-set,own-domain,gappusin,natural,10,0.039738363006205146,0.017331060757932497,0.10512095071168115,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,0,5,0.0,,,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,10,5,0.01378510378510378,-0.00952380952380949,0.0395238095238095,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,100,5,0.039865689865689856,0.00793650793650793,0.07655677655677655,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,200,5,0.03902930402930401,-0.05865079365079366,0.1335164835164835,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,25,5,0.017362637362637368,-0.0034920634920634795,0.045934065934065925,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,50,5,0.055396825396825375,0.021269841269841272,0.07761904761904756,D-post-hoc-diagnostic
primary-set,own-domain,hiddad,natural,5,-0.02964590964590964,-0.07158730158730157,0.004517704517704524,D-post-hoc-diagnostic
primary-set,own-domain,leadbolt,0,9,0.0,,,D-post-hoc-diagnostic
