experiment,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,pooling,pooling_lo,pooling_hi,local_recall,local_recall_lo,local_recall_hi,full_recall,full_recall_lo,full_recall_hi,headroom,headroom_lo,headroom_hi,peer_recall,peer_recall_lo,peer_recall_hi,absent_recall,absent_recall_lo,absent_recall_hi,full_central,full_linear,full_trees,n_classes_poor,n_classes,low_headroom,exposure_limited,representation_limited,pooling_responsive,negative_transfer_sensitive,exposure_limited_ci,negative_transfer_sensitive_ci,pooling_responsive_ci,n_labels,labels,evidence_class
controlled-exposure,own-domain,gappusin,0.020709329411731148,0.0003994791401913944,0.04325336809959515,10,4,-0.04975828719633263,-0.12282195370512916,0.034683432635147865,0.3158116422370002,0.2573487675134264,0.3827447248508321,0.33667505020817307,0.23667547235408046,0.45064611999359855,0.020863407971172948,-0.0597982034501107,0.10282249424202139,0.28676268445239866,0.20152784578168675,0.39782941906907754,0.2660533550406675,0.18554548611599678,0.3831453783069145,0.43328330982827995,0.34543839814076216,,3,3,true,false,true,false,false,false,false,false,2,representation_limited low_headroom,C-post-confirmatory-evidence-preserving
controlled-exposure,own-domain,hiddad,-0.008899434478283036,-0.033096926713947976,0.011357947434292859,10,2,0.027996569786306956,-0.054501228387336,0.08767644741111576,0.5145861725304779,0.38584345883743576,0.6411873638344227,0.6145390070921986,0.5076897684605758,0.7371516478931998,0.09995283456172066,-0.05776751610809805,0.262725049830807,0.5336833078385019,0.41607684663699995,0.6511948094840773,0.5425827423167849,0.4241464243498818,0.6610853410513141,0.6050666342186993,0.4987677884392528,,1,3,false,false,false,false,false,false,false,false,0,"",C-post-confirmatory-evidence-preserving
controlled-exposure,own-domain,leadbolt,0.30620917511472284,0.15089999403205054,0.47547659094094663,10,8,-0.14126199717468566,-0.3409068711439286,0.05042478010166579,0.4440208210691582,0.29621061785350083,0.5790913152499654,0.6539995103907018,0.5268334810457675,0.7738660261039917,0.20997868932154357,0.0999651343697209,0.35199264232411137,0.6089679990091954,0.495589805569407,0.7198175060645099,0.3027588238944726,0.21815228146741245,0.37431654133065423,0.7357827309602503,0.5259971459414683,,1,3,false,true,false,false,true,true,false,false,2,exposure_limited negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
controlled-exposure,own-domain,revmob,0.3013923849478769,0.17008394514365624,0.43652046783625736,10,10,-0.18017957030256804,-0.31074822018815146,-0.08501044844902111,0.31346636518833315,0.1931651411136537,0.46394078266317973,0.4466554974392503,0.26160147651738036,0.6373993702553485,0.13318913225091716,0.03329287893647165,0.23617770876466532,0.43467917983364207,0.26553050424975483,0.6119945697577276,0.13328679488576514,0.07838897742544768,0.1934455886092042,0.5280703116486869,0.3792063492063492,,3,3,false,false,true,false,true,false,true,false,2,representation_limited negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,dnotua,0.0073332664786372485,-0.01575355552863503,0.03750703944027418,10,3,0.027655638185806363,-0.03752586249359444,0.08830799659004614,0.5910279083060355,0.38729637846286874,0.781128577907033,0.5430228205201051,0.3580520085339346,0.7304659839445838,-0.04800508778593032,-0.2332822201890911,0.08088495859201701,0.6260168129704791,0.4446876586233271,0.8015938179317279,0.6186835464918417,0.4483646344721002,0.7823877099513006,0.627254342257929,,,1,2,true,false,false,false,false,false,false,false,1,low_headroom,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,domob,0.12807802931296036,0.05011729202127476,0.21784217449274224,10,8,-0.1136262537752331,-0.2223557667757112,-0.005912699538189437,0.5505912038003664,0.36189030218714074,0.7414544896076064,0.5856714128555771,0.41876322911465674,0.7552085551982028,0.03508020905521081,-0.039321207000796256,0.11233948518986463,0.5650429793380938,0.3878883419631416,0.7410858406976343,0.4369649500251332,0.3175506311971533,0.5573866301210322,0.5578345050305265,,,2,2,false,false,true,false,true,false,true,false,2,representation_limited negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,inmobi,0.1661434561868355,0.09063344577911865,0.24849435241965362,10,10,0.20823411293055397,0.07380982045976087,0.3786904837844639,0.497737322095675,0.348806622952856,0.6490595711783117,0.8956622566436991,0.8469609413445225,0.9398079119603446,0.3979249345480242,0.2575717880488717,0.5380820677390075,0.8721148912130644,0.8203540314867169,0.9212474709164185,0.7059714350262289,0.5965180586255294,0.8129180018031449,0.8314446903834037,,,0,2,false,true,false,true,false,true,false,true,2,exposure_limited pooling_responsive,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,kuguo,0.02704597136908938,-0.005969966651617954,0.05995597399747959,10,7,-0.019771172995782793,-0.12440910421412424,0.08885537219439547,0.5798519341145997,0.5359671955097455,0.6208178706640548,0.6080207249145912,0.47281942887829415,0.7437535286903656,0.0281687907999915,-0.09166189060151438,0.15331993882467826,0.5871267324879063,0.45664030680488465,0.7201289142651093,0.5600807611188168,0.44539664246699595,0.6759564655680027,0.7399914103004503,,,0,2,true,false,false,false,false,false,false,false,1,low_headroom,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,smsreg,0.04894348464006031,0.012546120592230833,0.08331926557190233,10,9,0.04930540629414885,-0.008253733993295867,0.10003040255258766,0.5620403379451779,0.404385928120614,0.7171050556971741,0.6827244388336529,0.5234475798716685,0.8300847448391426,0.12068410088847503,0.05809324943976672,0.18010618332764036,0.6602892288793869,0.5005605024348434,0.8165846559698619,0.6113457442393266,0.4517845055409774,0.7585533866185391,0.7731213264285788,,,0,2,false,true,false,true,false,true,false,false,2,exposure_limited pooling_responsive,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,utchi,0.11599508096421467,-0.006942664071278228,0.32360951229806983,6,3,0.009070714550166606,0.0,0.018203134641490804,0.008383844986024748,0.0002801120448179272,0.02344975835702286,0.22126024878708606,0.007813068730316985,0.4379052562902725,0.21287640380106132,0.0,0.42691749969147225,0.133449640500406,0.008403361344537815,0.3402289275576947,0.017454559536191353,0.004784616549322432,0.031952924598617656,0.43755777405769214,,,2,2,false,false,true,false,false,false,false,false,1,representation_limited,C-post-confirmatory-evidence-preserving
