set,population,alpha,family,cells,placebo_eff,ctk_minus_pl,ctk_mean,ctk_trim,ctk_med,trim_minus_mean,med_minus_mean,n_peers,n_peers30,top_share,peer_rows,evidence_class
primary-set,federation-wide,0.1,dowgin,10,-0.0010054015330680066,-0.0002971036259259652,-0.0013025051589939719,0.02014705391663175,0.027581722562380374,0.021449559075625724,0.028884227721374344,1.9,1.3,0.9825029206541748,1350.3,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,gappusin,10,0.007425532380510058,0.10120688478129214,0.10863241716180219,0.09703432903174976,0.11421878112652362,-0.011598088130052437,0.005586363964721441,2.0,1.4,0.8998663504040959,326.9,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,hiddad,10,-0.027291533781225487,0.05881735965343911,0.03152582587221362,0.02854599498426096,-0.0161528893205053,-0.002979830887952661,-0.04767871519271892,3.0,0.0,0.6322705924729414,24.5,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,leadbolt,10,-0.02843838309995637,0.34120418823171383,0.3127658051317575,0.30352298495384133,0.3513670748883447,-0.009242820177916106,0.03860126975658721,3.0,1.2,0.6999405778994723,81.8,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,revmob,10,-0.0007296723941759536,0.3725073383087694,0.37177766591459344,0.4151983949066621,0.4136802552296534,0.043420728992068655,0.04190258931506,2.7,1.0,0.9102904065143536,56.1,D-post-hoc-diagnostic
primary-set,own-domain,0.01,adwo,10,0.0149445237576459,0.023999200888067257,0.03894372464571315,0.03815153132698403,0.019242557390451144,-0.0007921933187291216,-0.019701167255262015,2.0,1.3,0.9520111165114754,230.1,D-post-hoc-diagnostic
primary-set,own-domain,0.01,airpush,10,-0.015291108419847769,0.10131620941088533,0.08602510099103755,0.08822250150870307,0.08706906206389417,0.002197400517665521,0.0010439610728566224,3.0,1.4,0.726611019476956,232.1,D-post-hoc-diagnostic
primary-set,own-domain,0.01,dowgin,10,-0.017266219396956668,0.0009162180322394339,-0.01635000136471723,-0.009250031899972588,-0.04774578795200711,0.007099969464744645,-0.03139578658728988,1.9,1.3,0.9825029206541748,1350.3,D-post-hoc-diagnostic
primary-set,own-domain,0.01,gappusin,10,-0.001745789113307674,0.025420045227556115,0.02367425611424844,0.027284942205506858,0.02131064396546637,0.003610686091258411,-0.0023636121487820723,2.0,1.4,0.8998663504040959,326.9,D-post-hoc-diagnostic
primary-set,own-domain,0.01,hiddad,8,-0.029396899692927556,0.028349183235041008,-0.0010477164578865487,-0.005136687083039139,0.0012100465217844934,-0.00408897062515259,0.002257762979671042,3.0,0.0,0.6170049072578434,23.0,D-post-hoc-diagnostic
primary-set,own-domain,0.01,leadbolt,9,0.007759863648478619,0.18887331987794712,0.19663318352642575,0.13077699316223168,0.23359983908477455,-0.0658561903641941,0.0369666555583488,3.0,1.2222222222222223,0.6973335026306193,80.44444444444444,D-post-hoc-diagnostic
primary-set,own-domain,0.01,revmob,9,-0.023837371205792254,0.1617304129889942,0.13789304178320194,0.05314493964379548,0.14242127056772366,-0.08474810213940648,0.004528228784521693,2.6666666666666665,1.0,0.917094162374439,56.44444444444444,D-post-hoc-diagnostic
primary-set,own-domain,0.05,adwo,10,0.02607814510334481,0.08542167644615266,0.11149982154949747,0.07851007535980517,0.06428116420166943,-0.03298974618969229,-0.04721865734782804,2.0,1.3,0.9520111165114754,230.1,D-post-hoc-diagnostic
primary-set,own-domain,0.05,airpush,10,0.01295114000615703,0.054675221980460584,0.06762636198661762,0.0769462414995298,0.05113907526789171,0.009319879512912183,-0.01648728671872591,3.0,1.4,0.726611019476956,232.1,D-post-hoc-diagnostic
primary-set,own-domain,0.05,dowgin,10,-0.004941783163134134,-0.035420930267292663,-0.0403627134304268,-0.06414944320158643,-0.007438292698454585,-0.023786729771159632,0.032924420731972215,1.9,1.3,0.9825029206541748,1350.3,D-post-hoc-diagnostic
primary-set,own-domain,0.05,gappusin,10,-0.011663755583261538,0.054278522640590895,0.04261476705732936,0.03699523369782427,0.04374815516193446,-0.005619533359505088,0.0011333881046051014,2.0,1.4,0.8998663504040959,326.9,D-post-hoc-diagnostic
primary-set,own-domain,0.05,hiddad,8,-0.013429983897712732,-0.006854540611707687,-0.02028452450942042,-0.011409204614366827,0.006731543908093215,0.008875319895053592,0.027016068417513632,3.0,0.0,0.6170049072578434,23.0,D-post-hoc-diagnostic
primary-set,own-domain,0.05,leadbolt,9,-0.094800758292264,0.3028277811783883,0.20802702288612437,0.258345879599821,0.3165234846422433,0.050318856713696646,0.10849646175611895,3.0,1.2222222222222223,0.6973335026306193,80.44444444444444,D-post-hoc-diagnostic
primary-set,own-domain,0.05,revmob,9,0.01110066833751044,0.28185494640266484,0.2929556147401753,0.29624177664963774,0.31411672474736146,0.0032861619094624686,0.02116111000718618,2.6666666666666665,1.0,0.917094162374439,56.44444444444444,D-post-hoc-diagnostic
primary-set,own-domain,0.1,adwo,10,0.009121914466000209,0.03924772644323218,0.04836964090923239,0.048924129758797,0.04323466462794355,0.000554488849564616,-0.005134976281288839,2.0,1.3,0.9520111165114754,230.1,D-post-hoc-diagnostic
primary-set,own-domain,0.1,airpush,10,0.026608385396822344,0.04699987530627177,0.0736082607030941,0.051957905195382556,0.046725184556168566,-0.02165035550771155,-0.026883076146925543,3.0,1.4,0.726611019476956,232.1,D-post-hoc-diagnostic
primary-set,own-domain,0.1,dowgin,10,0.0036711773364967782,-0.021747390987451088,-0.01807621365095431,0.00035207276771245246,0.006356245363082292,0.018428286418666763,0.024432459014036602,1.9,1.3,0.9825029206541748,1350.3,D-post-hoc-diagnostic
primary-set,own-domain,0.1,gappusin,10,0.018138622195957084,0.026925707736975307,0.04506432993293239,0.05660544129881486,0.05327863105577681,0.011541111365882466,0.008214301122844414,2.0,1.4,0.8998663504040959,326.9,D-post-hoc-diagnostic
primary-set,own-domain,0.1,hiddad,8,-0.005212930401719978,0.026081238994790562,0.020868308593070584,0.015350799460976616,-0.06653707520926447,-0.005517509132093968,-0.08740538380233505,3.0,0.0,0.6170049072578434,23.0,D-post-hoc-diagnostic
primary-set,own-domain,0.1,leadbolt,9,-0.00434042655940492,0.23097558481293243,0.22663515825352754,0.2085745782529545,0.293490911949957,-0.01806058000057304,0.06685575369642949,3.0,1.2222222222222223,0.6973335026306193,80.44444444444444,D-post-hoc-diagnostic
primary-set,own-domain,0.1,revmob,9,-0.0387934884098567,0.3566255881961226,0.31783209978626586,0.3137682316760928,0.35774396206486664,-0.004063868110173143,0.03991186227860073,2.6666666666666665,1.0,0.917094162374439,56.44444444444444,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,dnotua,10,-0.010998352674101767,-0.016352259773533738,-0.0273506124476355,-0.00903737098239334,-0.007617253498895246,0.018313241465242165,0.01973335894874026,2.9,0.6,0.8621564429364504,174.5,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,domob,10,0.026556801966924226,0.07040714598143757,0.0969639479483618,0.10513062789406247,0.029302302828249638,0.00816667994570067,-0.06766164512011216,1.6,0.8,0.9219150882335235,92.3,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,inmobi,10,0.026770488904977414,0.14940906395319542,0.17617955285817283,0.16918868745295504,0.10356081487751842,-0.006990865405217805,-0.07261873798065441,2.0,0.7,0.8633814440439119,59.4,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,kuguo,10,-0.011094039029804588,0.02776645785023892,0.016672418820434333,-0.00567863990495611,0.014852295851753525,-0.02235105872539044,-0.001820122968680804,1.8,1.3,0.9208569439076241,801.3,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,smsreg,10,-0.009001796168936052,0.09876992190781977,0.08976812573888374,0.07825261822380587,0.06607630338525335,-0.011515507515077853,-0.023691822353630376,2.9,1.6,0.7146887303292393,304.0,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,utchi,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.8,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,youmi,10,0.005485475525448502,0.011332959617004673,0.016818435142453174,0.02860241427313597,0.037305152037100504,0.011783979130682793,0.02048671689464733,2.6,1.2,0.9172296064615413,162.2,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,zdtad,3,-0.013011288835659982,0.006014997167406835,-0.006996291668253146,-0.043599747085775076,-0.04973771110318831,-0.03660345541752192,-0.04274141943493515,1.0,1.0,1.0,136.0,D-post-hoc-diagnostic
