representation,seed,arm,client,family,n_benign,n_pos,threshold,cal_recall,cal_fpr,eq_recall,stored_recall,stored_fpr,stored_trials,evidence_class
lamda-static,331,fedavg__family-absent-everywhere,appchina,revmob,2046,525,1.6953651905059814,0.10095238095238095,0.050342130987292275,0.10095238095238095,0.10095238095238095,0.050342130987292275,525,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere,anzhi,hiddad,3232,476,3.5387847423553467,0.10504201680672269,0.028465346534653466,0.11764705882352941,0.10504201680672269,0.028465346534653466,476,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,anzhi,dowgin,2059,2771,4.1468281745910645,0.8780223745940093,0.08159300631374454,0.8155900396968604,0.8780223745940093,0.08159300631374454,2771,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,anzhi,airpush,2059,1663,4.1468281745910645,0.6055321707757065,0.08159300631374454,0.5063138905592303,0.6055321707757065,0.08159300631374454,1663,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,anzhi,gappusin,2059,601,4.1468281745910645,0.47088186356073214,0.08159300631374454,0.2545757071547421,0.47088186356073214,0.08159300631374454,601,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,appchina,adwo,2028,310,5.813552379608154,0.3903225806451613,0.04585798816568047,0.4161290322580645,0.3903225806451613,0.04585798816568047,310,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,play-early,leadbolt,32805,717,-0.08724202960729599,0.7587168758716876,0.04846822130772748,0.7601115760111576,0.7587168758716876,0.04846822130772748,717,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,appchina,revmob,2028,448,5.813552379608154,0.30357142857142855,0.04585798816568047,0.34598214285714285,0.30357142857142855,0.04585798816568047,448,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure,play-late,hiddad,43512,518,-4.629339218139648,0.38996138996138996,0.04936569222283508,0.3918918918918919,0.38996138996138996,0.04936569222283508,518,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,anzhi,dowgin,2059,2771,1.5598583221435547,0.8386863948033201,0.09276347741622147,0.7008300252616384,0.8386863948033201,0.09276347741622147,2771,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,anzhi,airpush,2059,1663,1.5598583221435547,0.6283824413710163,0.09276347741622147,0.5441972339146122,0.6283824413710163,0.09276347741622147,1663,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,anzhi,gappusin,2059,601,1.5598583221435547,0.5940099833610649,0.09276347741622147,0.17304492512479203,0.5940099833610649,0.09276347741622147,601,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,appchina,adwo,2028,310,3.1395421028137207,0.5516129032258065,0.04240631163708087,0.5967741935483871,0.5516129032258065,0.04240631163708087,310,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,play-early,leadbolt,32805,717,-0.3384433388710022,0.7391910739191074,0.05093735711019662,0.7391910739191074,0.7391910739191074,0.05093735711019662,717,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,appchina,revmob,2028,448,3.1395421028137207,0.35044642857142855,0.04240631163708087,0.40625,0.35044642857142855,0.04240631163708087,448,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present,play-late,hiddad,43512,518,-3.279937744140625,0.3590733590733591,0.05299687442544585,0.3590733590733591,0.3590733590733591,0.05299687442544585,518,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere,anzhi,dowgin,2059,2771,1.552555799484253,0.7899675207506316,0.09373482272948033,0.6189101407434139,0.7899675207506316,0.09373482272948033,2771,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere,anzhi,airpush,2059,1663,1.552555799484253,0.20565243535778713,0.09373482272948033,0.12086590499098016,0.20565243535778713,0.09373482272948033,1663,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere,anzhi,gappusin,2059,601,1.552555799484253,0.19966722129783693,0.09373482272948033,0.08652246256239601,0.19966722129783693,0.09373482272948033,601,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere,appchina,adwo,2028,310,3.024291753768921,0.38387096774193546,0.03994082840236687,0.4935483870967742,0.38387096774193546,0.03994082840236687,310,D-post-hoc-diagnostic
