hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-DOSE-1,primary-set,central,own-domain,0.05,ctk-natural-peer-present,,10,0.1473404213290154,0.16870851296307804,10,0.10828497741520869,0.18065298615189707,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.05,ctk-natural-peer-present,,10,0.1636443194072438,0.1840137310357759,10,0.12827776313280853,0.1968986192792134,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.1,ctk-natural-peer-present,,10,0.13057592480863062,0.12955262113505034,10,0.08734948544468005,0.16548625805050837,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.1,ctk-natural-peer-present,,10,0.16802778795003528,0.1785319948349235,10,0.1252012044701492,0.20574658971617005,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.01,ctk-natural-peer-present,,10,0.08205195134768623,0.06600194991977448,10,0.0616384063970228,0.11282043038300985,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.05,ctk-natural-peer-present,,10,0.09552473631232894,0.09713148427702128,10,0.061847341965520525,0.12702059557423298,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.1,ctk-natural-peer-present,,10,0.14233089775199975,0.14974427559282688,10,0.10524898871415386,0.1689903846513574,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.01,ctk-natural-peer-present,,10,0.06314297723403851,0.05924521227391784,8,0.03470460092211973,0.11729760882346704,greater,0.0,0.0048828125,0.01953125,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.05,ctk-natural-peer-present,,10,0.10452310205414421,0.10336612478748991,9,0.05448441090615022,0.15423551477909994,greater,0.0,0.001953125,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.1,ctk-natural-peer-present,,10,0.1883856147957599,0.20826804478592081,10,0.138298156465157,0.23593669621986457,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
descriptive,pooled-family-sets,central,own-domain,0.01,increment-50-to-100,100,10,0.031988235708019085,0.026928285126643497,8,0.015269813214273547,0.05155337331120516,two-sided,0.0,0.013671875,,0.03,false,false,true
descriptive,pooled-family-sets,central,federation-wide,0.01,increment-50-to-100,100,10,0.03103747038973742,0.027109466413504313,10,0.021659289953924323,0.050506549168042564,two-sided,0.0,0.001953125,,0.03,false,false,true
descriptive,pooled-family-sets,central,own-domain,0.05,increment-50-to-100,100,10,0.06735961045003151,0.06514920911073868,9,0.03806064274723571,0.0949297070525105,two-sided,0.0,0.00390625,,0.03,true,false,true
descriptive,pooled-family-sets,central,federation-wide,0.05,increment-50-to-100,100,10,0.0621121482379534,0.06903685504806445,10,0.041929253819791734,0.08232807477752725,two-sided,0.0,0.001953125,,0.03,true,false,true
descriptive,pooled-family-sets,central,own-domain,0.1,increment-50-to-100,100,10,0.02653332954785942,0.033848685216741115,7,0.007278998611296496,0.043162662114716845,two-sided,0.0,0.02734375,,0.03,false,false,true
descriptive,pooled-family-sets,central,federation-wide,0.1,increment-50-to-100,100,10,0.03491136135990276,0.034530451656677175,10,0.023771561136008007,0.046697793800182956,two-sided,0.0,0.001953125,,0.03,false,false,true
descriptive,primary-set,central,own-domain,0.01,increment-50-to-100,100,10,0.044403512505189466,0.04045943262942833,9,0.019440315947439606,0.07541903216305354,two-sided,0.0,0.013671875,,0.03,false,false,true
descriptive,primary-set,central,federation-wide,0.01,increment-50-to-100,100,10,0.03679790868788674,0.02674535366035602,9,0.020452979152426963,0.05685894102923605,two-sided,0.0,0.00390625,,0.03,false,false,true
descriptive,primary-set,central,own-domain,0.05,increment-50-to-100,100,10,0.03727118716202134,0.035074592462633974,9,0.012165415881510669,0.059280209301747676,two-sided,0.0,0.02734375,,0.03,false,false,true
descriptive,primary-set,central,federation-wide,0.05,increment-50-to-100,100,10,0.05657046488028929,0.04215154046132802,10,0.037214002737963325,0.0830915741592611,two-sided,0.0,0.001953125,,0.03,true,false,true
descriptive,primary-set,central,own-domain,0.1,increment-50-to-100,100,10,0.022800282871084366,0.015233950524499384,8,0.0052370963437571175,0.04715172624580929,two-sided,0.0,0.10546875,,0.03,false,false,true
