set,population,client,seeds,dose,mean_ctk,ci_low,ci_high,evidence_class
replication-set,own-domain,play-early,8,50,0.028734824394614895,-0.007367886178861832,0.062328574394614915,D-post-hoc-diagnostic
replication-set,own-domain,play-early,8,100,0.051071410033656776,0.010807291666666635,0.0817070359779159,D-post-hoc-diagnostic
replication-set,own-domain,play-early,8,200,0.028444226456318167,-0.014345147357723576,0.07532886839334475,D-post-hoc-diagnostic
replication-set,own-domain,play-late,5,10,0.049830345093502995,0.04809523809523812,0.0515789473684211,D-post-hoc-diagnostic
replication-set,own-domain,play-late,5,25,0.06400616926932716,0.029573934837092763,0.11162521688837475,D-post-hoc-diagnostic
replication-set,own-domain,play-late,5,50,0.11257759784075574,0.07553499132446503,0.16190476190476194,D-post-hoc-diagnostic
replication-set,own-domain,play-late,5,100,0.15363022941970308,0.10630422209369575,0.18476190476190474,D-post-hoc-diagnostic
replication-set,own-domain,play-late,5,200,0.2012492770387507,0.13377289377289373,0.27919799498746867,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,anzhi,10,10,0.019418407407380062,0.00882922588128897,0.03444241988863231,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,anzhi,10,25,0.03014548047722459,0.018062606219767293,0.050356485304101944,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,anzhi,10,50,0.0431246030037515,0.031517796700406324,0.05221638987326191,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,anzhi,10,100,0.1015165672899877,0.08190223560185184,0.12956386374790585,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,anzhi,10,200,0.14844416239860952,0.11731473472959147,0.20043886225706273,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,appchina,10,10,0.022816653654020417,0.006372995704650253,0.051033911933666604,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,appchina,10,25,0.028531662328306208,0.01208347288724874,0.061259044592455514,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,appchina,10,50,0.04223908918390086,0.01705306272415562,0.09373372330289009,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,appchina,10,100,0.0640540868554696,0.03382161643733291,0.10800890631568053,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,appchina,10,200,0.07494315916972696,0.041550767608852096,0.11710319478524311,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-early,9,10,0.03835131365120978,0.016768173561562842,0.06616835605218158,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-early,9,25,0.07000053912937562,0.03311896667752948,0.11954967638502936,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-early,9,50,0.10800467930660095,0.06579989981970785,0.16141255609809044,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-early,9,100,0.14344982951811294,0.09064271386821929,0.20986871664698986,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-early,9,200,0.17413655284348462,0.11474552351342839,0.25227295623599255,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-late,9,10,0.10395877395193834,0.0621774794020072,0.17934227847591966,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-late,9,25,0.192168124758003,0.12322700398097831,0.2655609008279766,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-late,9,50,0.27659058780585455,0.18832153910312766,0.3902905578030658,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-late,9,100,0.3272442860109812,0.22770629575497026,0.4466041459587464,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,play-late,9,200,0.35994546866318256,0.25672607934905417,0.4778914360642383,D-post-hoc-diagnostic
pooled-family-sets,own-domain,anzhi,10,10,0.014135482053151557,0.005510764300235651,0.021112821262254614,D-post-hoc-diagnostic
pooled-family-sets,own-domain,anzhi,10,25,0.02555252110750626,0.011486564010233857,0.043014624457565084,D-post-hoc-diagnostic
pooled-family-sets,own-domain,anzhi,10,50,0.03667926509997935,0.027096371553865944,0.050455536313051795,D-post-hoc-diagnostic
pooled-family-sets,own-domain,anzhi,10,100,0.0803598511532971,0.04771083716378867,0.1299836569820004,D-post-hoc-diagnostic
pooled-family-sets,own-domain,anzhi,10,200,0.14704988162945934,0.08278797058884174,0.2782750449326813,D-post-hoc-diagnostic
pooled-family-sets,own-domain,appchina,10,10,0.016073209882631886,0.002342538691016489,0.040000676167699215,D-post-hoc-diagnostic
pooled-family-sets,own-domain,appchina,10,25,0.02526818152664967,0.011130746409631064,0.05455678533794318,D-post-hoc-diagnostic
pooled-family-sets,own-domain,appchina,10,50,0.047776839031043045,0.020419454301728295,0.0984473644624153,D-post-hoc-diagnostic
pooled-family-sets,own-domain,appchina,10,100,0.07125009826424036,0.04146329270895547,0.11864482968900886,D-post-hoc-diagnostic
pooled-family-sets,own-domain,appchina,10,200,0.061828436232673645,0.02739175393163035,0.09478885201056392,D-post-hoc-diagnostic
pooled-family-sets,own-domain,play-early,9,10,0.029273486336975612,-0.006983351122965588,0.07072795609139076,D-post-hoc-diagnostic
pooled-family-sets,own-domain,play-early,9,25,0.07477131308387275,0.024009245545567787,0.16229001899596496,D-post-hoc-diagnostic
pooled-family-sets,own-domain,play-early,9,50,0.1259702563489787,0.07625555891820643,0.24056962622734948,D-post-hoc-diagnostic
pooled-family-sets,own-domain,play-early,9,100,0.14246717735161235,0.07732890501554196,0.26579742463157446,D-post-hoc-diagnostic
pooled-family-sets,own-domain,play-early,9,200,0.13731507956643785,0.06420883725578874,0.2707533989651293,D-post-hoc-diagnostic
