set,learner,population,alpha,role,segment,n,increment,ci_low,ci_high,per10,per10_low,per10_high,evidence_class
replication-set,fedavg,own-domain,0.1,secondary,25->50,10,0.04463066196713122,0.0186604313233268,0.09625051256834205,0.01785226478685249,0.007464172529330721,0.03850020502733682,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,50->100,10,0.016056682553702177,0.010085310775692276,0.02361054959620089,0.0032113365107404356,0.0020170621551384555,0.004722109919240178,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,100->200,10,0.019085585716447105,0.006614808803870649,0.033168362574083295,0.0019085585716447106,0.0006614808803870649,0.0033168362574083296,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,0->10,10,0.01617545982608664,-0.004208155609453316,0.03379337211890479,0.01617545982608664,-0.004208155609453316,0.03379337211890479,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,10->25,10,0.009820160711595591,-0.004362909961055327,0.02111097971324824,0.0065467738077303935,-0.002908606640703551,0.014073986475498826,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,25->50,10,0.009833143349929954,-0.0005675510285640614,0.019313022400167915,0.003933257339971982,-0.00022702041142562456,0.007725208960067166,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,50->100,10,0.026201015919646242,0.012696472143175245,0.04522257607238132,0.005240203183929249,0.002539294428635049,0.009044515214476264,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,100->200,10,0.0032102158977117615,-0.02003003844488229,0.014834238136828829,0.0003210215897711762,-0.002003003844488229,0.001483423813682883,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,0->10,10,0.02588592622204312,0.014401094415380667,0.038380842587533395,0.02588592622204312,0.014401094415380667,0.038380842587533395,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,10->25,10,0.028275867286004324,0.018148368354023794,0.05096735989791203,0.01885057819066955,0.012098912236015863,0.03397823993194135,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,25->50,10,0.0123315052699361,-0.006060007898637715,0.03782465458787902,0.0049326021079744405,-0.002424003159455086,0.015129861835151609,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,50->100,10,0.06707368065332261,0.043474194931477216,0.0904295209479706,0.013414736130664524,0.008694838986295443,0.01808590418959412,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,100->200,10,0.019842516112033828,-0.0007598862079620107,0.0539433741467845,0.001984251611203383,-0.00007598862079620107,0.00539433741467845,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,0->10,10,0.03964760851969025,0.010614316831050088,0.08982843820526686,0.03964760851969025,0.010614316831050088,0.08982843820526686,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,10->25,10,0.04664166851551467,0.026343466184742814,0.0724574819933284,0.03109444567700978,0.01756231078982854,0.04830498799555226,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,25->50,10,0.03596596898608502,0.012166344821137027,0.06553005243624768,0.01438638759443401,0.004866537928454811,0.026212020974499074,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,50->100,10,0.027012406976833526,0.013316791233591287,0.04543019970653601,0.005402481395366705,0.0026633582467182576,0.009086039941307201,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,100->200,10,-0.0017352110686485733,-0.03054519174815489,0.012612597836664333,-0.00017352110686485734,-0.0030545191748154892,0.0012612597836664334,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,0->10,10,0.02150192407322596,0.000765557966225418,0.07582183439972977,0.02150192407322596,0.000765557966225418,0.07582183439972977,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,10->25,10,0.004978558021579892,-0.007505384688600454,0.016681572928160075,0.003319038681053261,-0.005003589792400303,0.011121048618773383,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,25->50,10,0.009966047040584045,-0.007927467687432736,0.021168876732313505,0.003986418816233618,-0.0031709870749730947,0.008467550692925402,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,50->100,10,0.019338424599719843,0.008426935461793173,0.035060708170030555,0.003867684919943969,0.0016853870923586346,0.007012141634006111,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,100->200,10,0.00461245739025068,-0.018504412993804488,0.017553285437170392,0.000461245739025068,-0.0018504412993804488,0.0017553285437170393,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,0->10,10,0.02247810970153121,0.006910849921205164,0.038184942014475975,0.02247810970153121,0.006910849921205164,0.038184942014475975,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,10->25,10,0.030693047364955657,0.009570020230166704,0.05356103562637634,0.020462031576637105,0.0063800134867778024,0.03570735708425089,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,25->50,10,0.0034265022389991457,-0.0249589275154218,0.04018684436463515,0.0013706008955996583,-0.009983571006168722,0.01607473774585406,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,50->100,10,0.09976745611751488,0.05396964367272797,0.14439790364376076,0.019953491223502977,0.010793928734545594,0.028879580728752154,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,100->200,10,0.02825321915236818,-0.0005175470846054244,0.08354389750157963,0.002825321915236818,-0.00005175470846054244,0.008354389750157964,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,0->10,10,0.04166594521580778,0.002324239145922126,0.10227872307806704,0.04166594521580778,0.002324239145922126,0.10227872307806704,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,10->25,10,0.08146477401335753,0.04713785373844908,0.13357335909276824,0.05430984934223835,0.03142523582563272,0.08904890606184548,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,25->50,10,0.04153651849015248,0.01123965937650678,0.08458516994626766,0.016614607396060993,0.004495863750602712,0.03383406797850707,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,50->100,10,0.030219646657976725,0.002951829684749941,0.04732492288829557,0.006043929331595345,0.0005903659369499883,0.009464984577659114,D-post-hoc-diagnostic
replication-set,central,own-domain,0.1,secondary,100->200,10,-0.00823145490943451,-0.041830531748881045,0.009372125385069397,-0.000823145490943451,-0.004183053174888105,0.0009372125385069398,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,0->10,10,0.010644313904761605,0.006145768781822689,0.01833203628303661,0.010644313904761605,0.006145768781822689,0.01833203628303661,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,10->25,10,0.01812805823762159,0.014148870608380121,0.024031423347633363,0.012085372158414393,0.009432580405586748,0.01602094889842224,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,25->50,10,0.01849604786699393,0.012567790408716958,0.028447778094263965,0.007398419146797572,0.005027116163486784,0.011379111237705587,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,50->100,10,0.020433325338515863,0.014497688223440577,0.028348267909158363,0.004086665067703173,0.0028995376446881156,0.005669653581831673,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.01,secondary,100->200,10,0.021237654063126422,0.01502604027214819,0.027417059469688913,0.0021237654063126425,0.0015026040272148192,0.0027417059469688914,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,0->10,10,0.030510641163323554,0.02208087006972112,0.038979412849467356,0.030510641163323554,0.02208087006972112,0.038979412849467356,D-post-hoc-diagnostic
