set,population,alpha,contrast,n,mean,median,pos,ci_low,ci_high,gate,evidence_class
pooled-family-sets,federation-wide,0.05,ctk_minus_pl,10,0.09535409156782305,0.09397675014280382,10,0.07917154741052541,0.11603935283795327,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,ctk_mean,10,0.09455059421415515,0.09093316140257823,10,0.07647197275572107,0.11604618893487598,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,ctk_trim,10,0.08797744271106135,0.0916473067679533,10,0.05923748637899984,0.11138352001609253,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,ctk_med,10,0.1262079582277237,0.13735853150350852,10,0.10415188621410237,0.1449752592454126,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,trim_minus_mean,10,-0.006573151503093805,0.0029884219522777326,5,-0.029009712252095095,0.008682919178696402,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,med_minus_mean,10,0.031657364013568556,0.027942173340575534,8,0.013623078895361438,0.04665731895179932,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,placebo_eff,10,-0.005480999911688665,-0.004744131676354955,1,-0.00958918058744086,0.00015854679329201316,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,ctk_minus_pl,10,0.14115717015601567,0.14461005260779897,10,0.1176929654820627,0.16440992504355756,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,ctk_mean,10,0.13567617024432704,0.1374988673501055,10,0.11144261516363871,0.1573752421350257,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,ctk_trim,10,0.13367286059467146,0.1401004322003871,10,0.11102219183558196,0.15311748227713814,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,ctk_med,10,0.13362769806265737,0.13311202286942678,10,0.10479722050480841,0.16471501555608348,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,trim_minus_mean,10,-0.0020033096496555936,-0.0006730833015353753,5,-0.013620300863113926,0.007253549268875956,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,med_minus_mean,10,-0.002048472181669633,0.007114995640962603,5,-0.03395627385933049,0.017487556442823567,false,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,placebo_eff,10,-0.006879802515731273,-0.0009371004634666828,4,-0.016086499480936066,-0.0008003547393149611,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,ctk_minus_pl,10,0.05244557327482689,0.04339537939490343,10,0.03135463737898541,0.08165069276655448,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,ctk_mean,10,0.04556577075909561,0.03274344816202035,10,0.02560363475980834,0.07478287775296058,false,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,ctk_trim,10,0.04246899263810384,0.051946418008782816,9,0.02479002173095156,0.055481105550544765,false,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,ctk_med,10,0.042922488029033964,0.031910737713603594,9,0.022161699252089002,0.07537700827204509,false,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,trim_minus_mean,10,-0.0030967781209917783,0.0010533307517504465,5,-0.026953559090883275,0.013116672665670917,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,med_minus_mean,10,-0.0026432827300616447,-0.00410373908879735,5,-0.01763647185316188,0.012589141559351124,true,D-post-hoc-diagnostic
