reading,arm,group,representation,seeds,level,r0,diff,pos,ci_low,ci_high,evidence_class
calibrated,fedavg-ctk,gappusin,call-graph,10,0.21043619511417333,0.1546333909422769,0.05580280417189641,6,0.006424799052699206,0.13411517706999262,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,gappusin,call-graph,10,0.1849499945402502,0.12562109558104184,0.059328898959208363,7,0.012531298025853085,0.1122383331492345,D-post-hoc-diagnostic
calibrated,fedavg-ctk,gappusin,mcndroid-static,10,0.30978181183133136,0.1546333909422769,0.15514842088905442,9,0.07366264980053228,0.18682272694417887,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,gappusin,mcndroid-static,10,0.3099988201536686,0.12562109558104184,0.18437772457262674,10,0.15538712310065422,0.21651464326236525,D-post-hoc-diagnostic
calibrated,fedavg-ctk,gappusin,report-json,10,0.20944079301611804,0.1546333909422769,0.05480740207384114,8,-0.0480390336010473,0.12381245677709976,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,gappusin,report-json,10,0.20118436880447327,0.12562109558104184,0.07556327322343141,8,0.013440117078554905,0.1342852924379458,D-post-hoc-diagnostic
calibrated,fedavg-ctk,hiddad,call-graph,10,0.051027488405369734,0.08833766986435496,-0.037310181458985216,3,-0.19113329733419038,0.03464000915046194,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,hiddad,call-graph,10,0.05246896608854669,0.0802342366555052,-0.027765270566958527,4,-0.18527834949275257,0.041379192350408225,D-post-hoc-diagnostic
calibrated,fedavg-ctk,hiddad,mcndroid-static,10,0.035264621450902804,0.08833766986435496,-0.05307304841345214,5,-0.22597346470092494,0.00040606915117830344,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,hiddad,mcndroid-static,10,0.029200389606210193,0.0802342366555052,-0.05103384704929501,4,-0.21112142962792652,0.007076821264228988,D-post-hoc-diagnostic
calibrated,fedavg-ctk,hiddad,report-json,10,0.02218203748720607,0.08833766986435496,-0.06615563237714887,2,-0.21212804671205893,-0.0051059039870758795,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,hiddad,report-json,10,0.02239494930382152,0.0802342366555052,-0.05783928735168371,3,-0.20997441328797056,0.002386666862837136,D-post-hoc-diagnostic
calibrated,fedavg-ctk,priority-macro,call-graph,10,0.20604470959697174,0.16696493903716145,0.03907977055981031,9,0.02151048099326365,0.06421396541522685,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,priority-macro,call-graph,10,0.20560165102163336,0.15594243605454852,0.049659214967084815,10,0.030797623985862832,0.08692405869845894,D-post-hoc-diagnostic
calibrated,fedavg-ctk,priority-macro,mcndroid-static,10,0.23730094405894206,0.16696493903716145,0.07033600502178063,8,0.029362463745863362,0.10010435970514081,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,priority-macro,mcndroid-static,10,0.23905344732231842,0.15594243605454852,0.08311101126776992,9,0.04343752646624191,0.11612173223819786,D-post-hoc-diagnostic
calibrated,fedavg-ctk,priority-macro,report-json,10,0.10810396328756329,0.16696493903716145,-0.058860975749598164,0,-0.09054561994904933,-0.0401326544622995,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,priority-macro,report-json,10,0.10290341361174216,0.15594243605454852,-0.05303902244280638,0,-0.09664842853069444,-0.03527993724738762,D-post-hoc-diagnostic
calibrated,fedavg-ctk,revmob,call-graph,10,0.35667044527137215,0.2579237563048525,0.0987466889665197,7,0.03214331246655827,0.23389162346536918,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,revmob,call-graph,10,0.3793859924361031,0.26197197592709864,0.11741401650900456,8,0.019480696272882847,0.2421982379675354,D-post-hoc-diagnostic
calibrated,fedavg-ctk,revmob,mcndroid-static,10,0.36685639889459215,0.2579237563048525,0.10893264258973959,8,0.05009786237106771,0.17617276667251447,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,revmob,mcndroid-static,10,0.3779611322070765,0.26197197592709864,0.11598915627997793,8,0.04622274008218031,0.18633299123349606,D-post-hoc-diagnostic
calibrated,fedavg-ctk,revmob,report-json,10,0.09268905935936575,0.2579237563048525,-0.1652346969454868,1,-0.21214642895302316,-0.0939989244456403,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,revmob,report-json,10,0.08513092272693173,0.26197197592709864,-0.17684105320016688,1,-0.23583825380026696,-0.10355531032883641,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,adwo,call-graph,10,0.4183466385005296,0.3751238942458931,0.043222744254636625,5,-0.03094789265224205,0.12849600428457789,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,adwo,call-graph,10,0.43373471245175865,0.4075365738845205,0.026198138567238106,7,-0.051639852607155576,0.09590502170611323,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,adwo,mcndroid-static,10,0.5816132615700625,0.3751238942458931,0.2064893673241694,9,0.10451311561672973,0.26233801222528425,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,adwo,mcndroid-static,10,0.6107001229708797,0.4075365738845205,0.2031635490863591,9,0.11717401999170114,0.2567477333473062,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,adwo,report-json,10,0.13050161816028644,0.3751238942458931,-0.24462227608560658,0,-0.3373763077679739,-0.1727914116948491,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,adwo,report-json,10,0.13656192935817665,0.4075365738845205,-0.27097464452634384,0,-0.35573566113569,-0.20379774972456016,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,contrast-macro,call-graph,10,0.3597544246188037,0.4950793148034068,-0.1353248901846031,0,-0.1631615818274007,-0.09858633990823366,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,contrast-macro,call-graph,10,0.345590134192633,0.47678687380682855,-0.1311967396141956,0,-0.15901078848158598,-0.09969964148573547,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,contrast-macro,mcndroid-static,10,0.4443214232227616,0.4950793148034068,-0.05075789158064521,0,-0.06236242744134567,-0.03748247013069968,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,contrast-macro,mcndroid-static,10,0.43728276478116196,0.47678687380682855,-0.039504109025666576,0,-0.061355030166043496,-0.025128402873843377,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,contrast-macro,report-json,10,0.21619177177494509,0.4950793148034068,-0.27888754302846175,0,-0.30682212152119964,-0.24810296748386124,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,contrast-macro,report-json,10,0.20757250380262837,0.47678687380682855,-0.2692143700042001,0,-0.2989817959385351,-0.2353605490108645,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,gappusin,call-graph,10,0.5694010422762873,0.44909365851799776,0.12030738375828957,9,0.08722125856589731,0.17182259369851033,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,gappusin,call-graph,10,0.564849404879809,0.4432082030505681,0.12164120182924083,10,0.08907662616711201,0.14943832111210306,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,gappusin,mcndroid-static,10,0.4959290924265118,0.44909365851799776,0.04683543390851404,4,-0.03710371496566854,0.14876307653439072,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,gappusin,mcndroid-static,10,0.47977948543026566,0.4432082030505681,0.03657128237969762,4,-0.04557414708278916,0.13606503339990073,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,gappusin,report-json,10,0.25076379686542694,0.44909365851799776,-0.19832986165257083,0,-0.2830236213515854,-0.11500403624279272,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,gappusin,report-json,10,0.2572296596988606,0.4432082030505681,-0.18597854335170752,0,-0.2751227208546011,-0.09363410036357155,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,hiddad,call-graph,10,0.25780878666402973,0.3418939553362639,-0.0840851686722341,0,-0.13877310880653845,-0.04709804148289948,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,hiddad,call-graph,10,0.2606481747208508,0.3416015173390462,-0.08095334261819545,0,-0.12669208267755233,-0.045247862023149926,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,hiddad,mcndroid-static,10,0.3666545853825666,0.3418939553362639,0.024760630046302756,4,-0.04111706818951916,0.16006977652761445,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,hiddad,mcndroid-static,10,0.35827780447446783,0.3416015173390462,0.016676287135421637,5,-0.04794344273029124,0.16081210102973376,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,hiddad,report-json,10,0.22223282358050547,0.3418939553362639,-0.11966113175575843,0,-0.18415304197303614,-0.07684751735652534,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,hiddad,report-json,10,0.22399130387092106,0.3416015173390462,-0.11761021346812514,0,-0.17845974076744536,-0.06916200831263791,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,priority-macro,call-graph,10,0.31502087030254844,0.3059663253631387,0.009054544939409803,5,-0.015004783024779807,0.03593945250209877,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,priority-macro,call-graph,10,0.3159516276499749,0.3037389932361823,0.012212634413792636,6,-0.006121485152955216,0.030412896687750345,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,priority-macro,mcndroid-static,10,0.3348516944158687,0.3059663253631387,0.028885369052729905,6,-0.012449970587358857,0.10029799420283407,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,priority-macro,mcndroid-static,10,0.32837244830054213,0.3037389932361823,0.024633455064359773,5,-0.013720748068264814,0.10101771600656302,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,priority-macro,report-json,10,0.20125747929749355,0.3059663253631387,-0.10470884606564515,0,-0.13790594999774988,-0.06555412322674103,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,priority-macro,report-json,10,0.20784268059621364,0.3037389932361823,-0.09589631263996864,1,-0.13142942805196572,-0.053557961766914366,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,revmob,call-graph,10,0.11785278196732848,0.12691136223515453,-0.009058580267826051,2,-0.04118849598007798,0.05275170816517921,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,revmob,call-graph,10,0.12235730334926516,0.12640725931893262,-0.00404995596966746,4,-0.03543551261956125,0.05350126809432571,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,revmob,mcndroid-static,10,0.14197140543852743,0.12691136223515453,0.015060043203372925,4,-0.04825931495226101,0.07422981171995321,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,revmob,mcndroid-static,10,0.14706005499689273,0.12640725931893262,0.020652795677960106,5,-0.04359105480210875,0.07429976549705858,D-post-hoc-diagnostic
calibrated,fedavg__family-absent-everywhere,revmob,report-json,10,0.13077581744654837,0.12691136223515453,0.003864455211393854,5,-0.030993916341547988,0.032114580145127386,D-post-hoc-diagnostic
equal-test-fpr,fedavg__family-absent-everywhere,revmob,report-json,10,0.14230707821885932,0.12640725931893262,0.015899818899926706,6,-0.01706251198591058,0.05173671289145801,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,adwo,call-graph,10,0.5522062208826967,0.4400667089670784,0.11213951191561825,8,0.02187478878430935,0.20235419478484196,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,adwo,call-graph,10,0.5560967778287351,0.4628420143918204,0.09325476343691466,9,-0.014719705902373498,0.1619838868431392,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,adwo,mcndroid-static,10,0.7496179026880168,0.4400667089670784,0.30955119372093837,10,0.21580041598483102,0.3862820151504748,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,adwo,mcndroid-static,10,0.7577316890668868,0.4628420143918204,0.29488967467506644,10,0.2038762298855822,0.36227049865839345,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,adwo,report-json,10,0.16437154628811204,0.4400667089670784,-0.2756951626789664,0,-0.36840142530628706,-0.18994242599562758,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,adwo,report-json,10,0.16278772881620615,0.4628420143918204,-0.30005428557561425,0,-0.3818784941234538,-0.21223690701502082,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,contrast-macro,call-graph,10,0.7381197947939274,0.7213905196626604,0.01672927513126692,6,-0.010837877415565573,0.06282379462492077,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,contrast-macro,call-graph,10,0.7176577330097828,0.6939724558155291,0.023685277194253652,6,-0.0017159477019442527,0.05590106371221192,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,contrast-macro,mcndroid-static,10,0.6584107448459431,0.7213905196626604,-0.06297977481671736,1,-0.09081959302436492,-0.032275396431558155,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,contrast-macro,mcndroid-static,10,0.6449227663062248,0.6939724558155291,-0.04904968950930418,0,-0.06731933925193478,-0.035850049321744216,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,contrast-macro,report-json,10,0.3687873310064216,0.7213905196626604,-0.35260318865623874,0,-0.3785454287268246,-0.3272156249236763,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,contrast-macro,report-json,10,0.346579718448774,0.6939724558155291,-0.347392737366755,0,-0.3680507134921745,-0.30770305201054937,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,gappusin,call-graph,10,0.7798372373904605,0.6037270494602747,0.17611018793018599,10,0.11530761038881035,0.2715610517229383,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,gappusin,call-graph,10,0.7497993994200591,0.5688292986316099,0.1809701007884492,10,0.13221107353352854,0.2461869196792114,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,gappusin,mcndroid-static,10,0.8057109042578432,0.6037270494602747,0.20198385479756847,10,0.12604811971866284,0.31733384571722795,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,gappusin,mcndroid-static,10,0.7897783055839344,0.5688292986316099,0.22094900695232433,10,0.14885168829607062,0.3066489539633601,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,gappusin,report-json,10,0.4602045898815449,0.6037270494602747,-0.14352245957872972,1,-0.20746061150173,-0.07178161364504723,D-post-hoc-diagnostic
