set,population,alpha,stratum,contrast,seeds,mean,ci_low,ci_high,evidence_class
replication-set,federation-wide,0.05,single>=0.9,med_minus_mean,10,0.07448118569474436,0.030870955797723938,0.12012451095427723,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,multi<0.9,ctk_mean,10,0.10805812153210989,0.07606949207865801,0.1381877743794156,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,multi<0.9,ctk_trim,10,0.10806340513786576,0.07563003906567868,0.13868507951195067,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,multi<0.9,ctk_med,10,0.11638609217819292,0.08078532551510556,0.15337928293687159,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,multi<0.9,trim_minus_mean,10,5.283605755861814e-6,-0.007557197956350223,0.01005085463281578,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,multi<0.9,med_minus_mean,10,0.008327970646083005,-0.0092417936659154,0.04419998964518958,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,single>=0.9,ctk_mean,10,0.16279068762173882,0.09523120579103092,0.23390936996008627,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,single>=0.9,ctk_trim,10,0.14997002118098973,0.08382222451912966,0.21267888327091533,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,single>=0.9,ctk_med,10,0.12776607535309606,0.06219475535019925,0.20902328636562237,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,single>=0.9,trim_minus_mean,10,-0.012820666440749062,-0.03994379757293996,0.003437355102253377,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,single>=0.9,med_minus_mean,10,-0.03502461226864276,-0.10087257885746502,0.006641847754903165,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,multi<0.9,ctk_mean,10,0.07592007766708786,0.0602258375104901,0.09065975735561174,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,multi<0.9,ctk_trim,10,0.08003505138492632,0.060807398524771385,0.0966361275084496,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,multi<0.9,ctk_med,10,0.08260526684441419,0.054943289101162994,0.10910980386884653,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,multi<0.9,trim_minus_mean,10,0.004114973717838463,-0.00155504143000377,0.0104383851139391,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,multi<0.9,med_minus_mean,10,0.006685189177326323,-0.01140036931475752,0.022437959436594847,D-post-hoc-diagnostic
replication-set,own-domain,0.01,single>=0.9,ctk_mean,10,0.018366609812616584,0.0033853401420304817,0.04588782816477062,D-post-hoc-diagnostic
replication-set,own-domain,0.01,single>=0.9,ctk_trim,10,0.020273888973441546,0.002202705777324465,0.050500445819968806,D-post-hoc-diagnostic
replication-set,own-domain,0.01,single>=0.9,ctk_med,10,0.0023311971771624966,-0.012279649174530515,0.023027485318160297,D-post-hoc-diagnostic
replication-set,own-domain,0.01,single>=0.9,trim_minus_mean,10,0.0019072791608249588,-0.005393225217891338,0.014404219164296888,D-post-hoc-diagnostic
replication-set,own-domain,0.01,single>=0.9,med_minus_mean,10,-0.01603541263545409,-0.0360067992259219,-0.0013049511878162813,D-post-hoc-diagnostic
replication-set,own-domain,0.01,multi<0.9,ctk_mean,9,0.052338676506892556,-0.026354477792735004,0.16743336438452758,D-post-hoc-diagnostic
replication-set,own-domain,0.01,multi<0.9,ctk_trim,9,0.08385250570549296,0.03884411222915607,0.1263454896759892,D-post-hoc-diagnostic
replication-set,own-domain,0.01,multi<0.9,ctk_med,9,0.068134609217054,0.010231668866127173,0.17173539843838104,D-post-hoc-diagnostic
replication-set,own-domain,0.01,multi<0.9,trim_minus_mean,9,0.031513829198600414,-0.05265091223806335,0.08615360562605423,D-post-hoc-diagnostic
replication-set,own-domain,0.01,multi<0.9,med_minus_mean,9,0.015795932710161442,-0.03044671024532317,0.09844248747130255,D-post-hoc-diagnostic
replication-set,own-domain,0.05,single>=0.9,ctk_mean,10,0.021846661086116256,-0.0030948066204563203,0.06435765183447212,D-post-hoc-diagnostic
replication-set,own-domain,0.05,single>=0.9,ctk_trim,10,0.01004466039225121,-0.013480586468390244,0.04551694504229118,D-post-hoc-diagnostic
replication-set,own-domain,0.05,single>=0.9,ctk_med,10,0.14418950314209175,0.0760848421577399,0.2262054023058594,D-post-hoc-diagnostic
replication-set,own-domain,0.05,single>=0.9,trim_minus_mean,10,-0.011802000693865047,-0.058265171820888265,0.01123600728167971,D-post-hoc-diagnostic
replication-set,own-domain,0.05,single>=0.9,med_minus_mean,10,0.12234284205597552,0.04892497269258517,0.19298829115520919,D-post-hoc-diagnostic
replication-set,own-domain,0.05,multi<0.9,ctk_mean,9,0.0858239844600853,0.05015093525249964,0.12824766646946423,D-post-hoc-diagnostic
replication-set,own-domain,0.05,multi<0.9,ctk_trim,9,0.0772870783494922,0.03223940868576093,0.14982723685152888,D-post-hoc-diagnostic
replication-set,own-domain,0.05,multi<0.9,ctk_med,9,0.06654210485323815,0.005745002934802348,0.15514930079627157,D-post-hoc-diagnostic
replication-set,own-domain,0.05,multi<0.9,trim_minus_mean,9,-0.008536906110593104,-0.042440813709429495,0.018035870583473813,D-post-hoc-diagnostic
replication-set,own-domain,0.05,multi<0.9,med_minus_mean,9,-0.019281879606847144,-0.08847315913787474,0.03795461929131057,D-post-hoc-diagnostic
replication-set,own-domain,0.1,single>=0.9,ctk_mean,10,0.22065659071395122,0.14070076183316846,0.29671599186976216,D-post-hoc-diagnostic
replication-set,own-domain,0.1,single>=0.9,ctk_trim,10,0.21205969385205425,0.12127872372076884,0.29452233725998,D-post-hoc-diagnostic
replication-set,own-domain,0.1,single>=0.9,ctk_med,10,0.17530098687111456,0.0893367374415567,0.28430156804302026,D-post-hoc-diagnostic
replication-set,own-domain,0.1,single>=0.9,trim_minus_mean,10,-0.008596896861896972,-0.03203698894008269,0.00961361158199076,D-post-hoc-diagnostic
