set,population,alpha,stratum,seeds,cells,mean,ci_low,ci_high,equiv,ctkpl_mean,ctkpl_lo,beyond,evidence_class
primary-set,own-domain,0.1,realloc,10,32,-0.002971366550638126,-0.014677263088989312,0.020121016111963933,true,0.10923832488180422,0.06819061136562535,true,D-post-hoc-diagnostic
primary-set,own-domain,0.1,norealloc,10,34,0.010092897335408253,-0.004246095480926426,0.03965608033786644,false,0.09260147245219155,0.0363871728331983,true,D-post-hoc-diagnostic
primary-set,own-domain,0.1,diff(re-no),10,,-0.013064263886046378,-0.03904514928859862,0.008773818543849968,,,,,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,realloc,10,37,0.002172805154099476,-0.004120573169211159,0.005622439880072556,true,0.027805683821567152,0.010978701426753234,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,norealloc,10,36,0.004656012019140292,-0.004791434836035899,0.011740821239407031,true,0.06225443745368607,0.03650620735064468,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,diff(re-no),10,,-0.0024832068650408154,-0.011999781826479438,0.009125490356461433,,,,,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,realloc,10,37,0.007796568577092824,-0.0008086517058570198,0.019332451111301902,true,0.04541789809879717,0.016894479269749005,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,norealloc,10,36,-0.004726359375250636,-0.02557796552429483,0.005843904531327147,true,0.05194658701563688,0.028454960207593007,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,diff(re-no),10,,0.012522927952343466,-0.00287637180956005,0.02857883910905448,,,,,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,realloc,10,37,-0.0018180176245737388,-0.01351949685677028,0.0074373232777079695,true,0.10202149256558016,0.05082717831395255,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,norealloc,10,36,-0.0025778691781944405,-0.012370377334025483,0.009059489290580258,true,0.13109153471657292,0.06835728911252185,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,diff(re-no),10,,0.0007598515536207017,-0.017527564244097286,0.012820497128787238,,,,,D-post-hoc-diagnostic
replication-set,own-domain,0.01,realloc,10,32,-0.00417960886717147,-0.028456272894610855,0.005336154540625042,true,-0.0030299402286158078,-0.0664746526592734,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,norealloc,9,28,-0.0011282109822507841,-0.010950415373685584,0.008199971787324713,true,0.059371448227093664,0.024895059597470216,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,diff(re-no),9,,0.004181349308750171,-0.005579977620787313,0.01591094856086409,,,,,D-post-hoc-diagnostic
replication-set,own-domain,0.05,realloc,10,32,-0.006646116555044701,-0.02453955280678986,0.00696800421145068,true,0.012916410421603181,-0.001890297007239753,false,D-post-hoc-diagnostic
replication-set,own-domain,0.05,norealloc,9,28,-0.012697193672989328,-0.04516611076528424,0.015217280458003756,false,0.07438482601438388,0.032124085785931074,true,D-post-hoc-diagnostic
replication-set,own-domain,0.05,diff(re-no),9,,0.006580596065127112,-0.01003330967971822,0.02526942461851559,,,,,D-post-hoc-diagnostic
replication-set,own-domain,0.1,realloc,10,32,-0.005142980205629364,-0.01812987663824516,0.009880127950486603,true,0.08828834422169238,0.03173041051305349,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,norealloc,9,28,-0.01813557754747279,-0.036304780963887236,-0.0015114404868815622,false,0.24538703523155528,0.13170168661315726,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,diff(re-no),9,,0.01372414955086664,-0.007925522205784803,0.040221633373254434,,,,,D-post-hoc-diagnostic
