representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,airpush,federation-wide,332,0.8033674082982561,0.6055321707757065,0.1978352375225496,central-full-exposure-recall
call-graph,family,airpush,federation-wide,333,0.7255813953488373,0.7246511627906976,0.0009302325581396209,central-full-exposure-recall
call-graph,family,airpush,federation-wide,334,0.6052814454482279,0.4475330090340514,0.15774843641417652,central-full-exposure-recall
call-graph,family,airpush,federation-wide,335,0.5691788526434196,0.5922384701912261,-0.0230596175478065,central-full-exposure-recall
call-graph,family,airpush,federation-wide,336,0.8113063407181055,0.5653170359052712,0.24598930481283432,central-full-exposure-recall
call-graph,family,airpush,federation-wide,337,0.9152677857713829,0.8784972022382095,0.03677058353317342,central-full-exposure-recall
call-graph,family,airpush,federation-wide,338,0.7553743513713862,0.3780578206078577,0.3773165307635285,central-full-exposure-recall
call-graph,family,airpush,federation-wide,339,0.7685009487666035,0.4946236559139785,0.27387729285262497,central-full-exposure-recall
call-graph,family,airpush,own-domain,330,0.8717948717948718,0.7948717948717948,0.07692307692307698,central-full-exposure-recall
call-graph,family,airpush,own-domain,331,0.7741935483870968,0.8709677419354839,-0.09677419354838712,central-full-exposure-recall
call-graph,family,airpush,own-domain,332,0.8666666666666667,1.0,-0.1333333333333333,central-full-exposure-recall
call-graph,family,airpush,own-domain,333,0.7857142857142857,0.9571428571428572,-0.17142857142857149,central-full-exposure-recall
call-graph,family,airpush,own-domain,334,0.6967741935483871,0.8451612903225807,-0.1483870967741936,central-full-exposure-recall
call-graph,family,airpush,own-domain,335,0.7393364928909952,0.985781990521327,-0.24644549763033174,central-full-exposure-recall
call-graph,family,airpush,own-domain,336,0.9285714285714286,1.0,-0.0714285714285714,central-full-exposure-recall
call-graph,family,airpush,own-domain,337,0.921645445641528,0.8765915768854065,0.045053868756121496,central-full-exposure-recall
call-graph,family,airpush,own-domain,338,0.9523809523809523,0.9047619047619048,0.04761904761904756,central-full-exposure-recall
call-graph,family,airpush,own-domain,339,0.8681318681318682,0.9835164835164835,-0.11538461538461531,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,330,0.5700692041522492,0.7168396770472895,-0.1467704728950403,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,331,0.9050522648083623,0.9779326364692218,-0.07288037166085948,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,332,0.6975821003247925,0.8780223745940093,-0.18044027426921683,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,333,0.8981805458362492,0.9846046186144157,-0.08642407277816655,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,334,0.6332641565372072,0.8111473465757486,-0.17788319003854136,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,335,0.5988154613466334,0.8011221945137157,-0.20230673316708225,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,336,0.9244663382594417,0.9825944170771757,-0.058128078817733964,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,337,0.5516598284222305,0.8082804923535994,-0.25662066393136895,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,338,0.9048689138576779,0.9700374531835206,-0.06516853932584277,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,339,0.5161749022396018,0.6953430501244223,-0.1791681478848205,central-full-exposure-recall
call-graph,family,dowgin,own-domain,330,0.5781683626271971,0.7329633055812519,-0.15479494295405483,central-full-exposure-recall
call-graph,family,dowgin,own-domain,331,0.3888888888888889,0.6666666666666666,-0.27777777777777773,central-full-exposure-recall
call-graph,family,dowgin,own-domain,332,0.7119166988044736,0.8866178172001543,-0.1747011183956807,central-full-exposure-recall
call-graph,family,dowgin,own-domain,333,0.5,0.75,-0.25,central-full-exposure-recall
call-graph,family,dowgin,own-domain,334,0.4861878453038674,0.5911602209944752,-0.1049723756906078,central-full-exposure-recall
call-graph,family,dowgin,own-domain,335,0.5652173913043478,0.6183574879227053,-0.0531400966183575,central-full-exposure-recall
call-graph,family,dowgin,own-domain,336,0.875,0.9375,-0.0625,central-full-exposure-recall
call-graph,family,dowgin,own-domain,337,0.5379310344827586,0.5379310344827586,0.0,central-full-exposure-recall
call-graph,family,dowgin,own-domain,339,0.5310211946050096,0.7152215799614644,-0.18420038535645478,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,330,0.6194331983805668,0.3319838056680162,0.28744939271255054,central-full-exposure-recall
