experiment,family,learner,population,alpha,dose,mean_ctk,seed_count
exact-effective-dose-primary,airpush,fedavg,own-domain,0.05,100,0.11283566577161326,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.05,200,0.12406380963931984,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.1,10,0.006018605573479658,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.1,25,0.022480989084052744,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.1,50,0.03451990448306616,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.1,100,0.11062261121181516,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.1,200,0.11243375225047765,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.01,10,0.012681721444741379,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.01,25,0.0102020165250833,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.01,50,0.03765186711416524,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.01,100,0.03856338148651793,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.01,200,0.030993000441224893,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.05,10,0.007110765302763033,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.05,25,0.022342053577148212,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.05,50,0.023709991162279464,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.05,100,0.026237796512879018,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.05,200,0.0201196019057438,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.1,10,0.0031569406860997296,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.1,25,0.01352097207235382,10
