experiment,seed,salt,client,family,peer_recall,trials,absent_recall,full_recall,local_recall,learner,ctk_gain
large-family-set-2,303,0,anzhi,smsreg,0.2017353579175705,1383,0.1735357917570499,0.23716558206796817,0.2942877801879971,fedavg,0.028199566160520606
large-family-set-2,303,0,anzhi,youmi,0.17842876165113183,751,0.18242343541944075,0.19840213049267644,0.22902796271637815,fedavg,-0.003994673768308921
large-family-set-2,303,0,anzhi,utchi,0.0,330,0.0,0.0030303030303030303,0.0,fedavg,0.0
large-family-set-2,303,0,anzhi,igexin,0.18543046357615894,151,0.1986754966887417,0.23178807947019867,0.033112582781456956,fedavg,-0.013245033112582766
large-family-set-2,304,0,play-early,kuguo,0.9299741602067183,3870,0.8583979328165374,0.937984496124031,0.697157622739018,fedavg,0.07157622739018088
large-family-set-2,304,0,play-early,smsreg,0.8863090472377902,1249,0.811048839071257,0.8959167333867094,0.5652522017614091,fedavg,0.07526020816653323
large-family-set-2,304,0,play-early,youmi,0.8200782268578879,767,0.7509778357235984,0.8813559322033898,0.7314211212516297,fedavg,0.06910039113428945
large-family-set-2,304,0,anzhi,igexin,0.46551724137931033,174,0.23563218390804597,0.5517241379310345,0.2988505747126437,fedavg,0.22988505747126436
large-family-set-2,304,0,appchina,utchi,0.22317596566523606,233,0.008583690987124463,0.22317596566523606,0.008583690987124463,fedavg,0.2145922746781116
large-family-set-2,304,0,appchina,feiwo,0.26,200,0.34,0.225,0.22,fedavg,-0.08000000000000002
large-family-set-2,304,0,appchina,autoins,0.057692307692307696,104,0.038461538461538464,0.057692307692307696,0.09615384615384616,fedavg,0.019230769230769232
large-family-set-2,304,0,appchina,utilcode,0.47107438016528924,121,0.4214876033057851,0.47107438016528924,0.2892561983471074,fedavg,0.049586776859504134
large-family-set-2,305,0,play-late,autoins,0.345679012345679,81,0.30864197530864196,0.35802469135802467,0.24691358024691357,fedavg,0.037037037037037035
large-family-set-2,305,0,anzhi,kuguo,0.5037468776019983,3603,0.5223424923674715,0.5695253955037469,0.6733277824035526,fedavg,-0.018595614765473223
large-family-set-2,305,0,anzhi,smsreg,0.468895800933126,1286,0.3849144634525661,0.5101088646967341,0.5155520995334371,fedavg,0.08398133748055991
large-family-set-2,305,0,anzhi,youmi,0.32903225806451614,620,0.32741935483870965,0.30483870967741933,0.3935483870967742,fedavg,0.0016129032258064835
large-family-set-2,305,0,anzhi,utchi,1.0,559,0.11627906976744186,1.0,0.005366726296958855,fedavg,0.8837209302325582
large-family-set-2,305,0,anzhi,igexin,0.15822784810126583,158,0.13291139240506328,0.3860759493670886,0.21518987341772153,fedavg,0.025316455696202556
large-family-set-2,305,0,anzhi,utilcode,0.47413793103448276,116,0.3103448275862069,0.5344827586206896,0.10344827586206896,fedavg,0.16379310344827586
large-family-set-2,305,0,appchina,feiwo,0.5135135135135135,185,0.35135135135135137,0.3837837837837838,0.32432432432432434,fedavg,0.16216216216216212
large-family-set-2,306,0,play-late,autoins,0.464,125,0.384,0.392,0.48,fedavg,0.08000000000000002
large-family-set-2,306,0,anzhi,smsreg,0.2727272727272727,1243,0.19308125502815768,0.32019308125502816,0.1737731295253419,fedavg,0.07964601769911503
large-family-set-2,306,0,anzhi,igexin,0.20441988950276244,181,0.08839779005524862,0.26519337016574585,0.0055248618784530384,fedavg,0.11602209944751382
large-family-set-2,306,0,anzhi,utilcode,0.2857142857142857,105,0.2571428571428571,0.3047619047619048,0.20952380952380953,fedavg,0.02857142857142858
large-family-set-2,306,0,appchina,kuguo,0.6801128349788435,3545,0.61212976022567,0.6394922425952045,0.7057827926657264,fedavg,0.06798307475317344
large-family-set-2,306,0,appchina,youmi,0.3443609022556391,665,0.33383458646616543,0.33533834586466166,0.2796992481203007,fedavg,0.010526315789473661
large-family-set-2,306,0,appchina,utchi,0.0547008547008547,585,0.005128205128205128,0.005128205128205128,0.003418803418803419,fedavg,0.04957264957264957
large-family-set-2,306,0,appchina,feiwo,0.40609137055837563,197,0.4467005076142132,0.350253807106599,0.39593908629441626,fedavg,-0.040609137055837574
large-family-set-2,307,0,play-early,youmi,0.8694516971279374,766,0.7493472584856397,0.8877284595300261,0.720626631853786,fedavg,0.1201044386422977
large-family-set-2,307,0,play-early,igexin,0.8704663212435233,193,0.6787564766839378,0.8808290155440415,0.8238341968911918,fedavg,0.1917098445595855
large-family-set-2,307,0,anzhi,smsreg,0.43924528301886795,1325,0.3433962264150943,0.4762264150943396,0.35094339622641507,fedavg,0.09584905660377363
large-family-set-2,307,0,anzhi,autoins,0.1452991452991453,117,0.1111111111111111,0.1282051282051282,0.05128205128205128,fedavg,0.034188034188034205
large-family-set-2,307,0,anzhi,utilcode,0.3090909090909091,110,0.3,0.2727272727272727,0.23636363636363636,fedavg,0.009090909090909094
large-family-set-2,307,0,appchina,kuguo,0.4918312606681297,4101,0.4050231650816874,0.60424286759327,0.5103633260180443,fedavg,0.08680809558644231
large-family-set-2,308,0,play-early,autoins,0.40384615384615385,104,0.38461538461538464,0.38461538461538464,0.4807692307692308,fedavg,0.019230769230769218
large-family-set-2,308,0,play-late,utilcode,0.8817204301075269,93,0.7526881720430108,0.9354838709677419,0.5806451612903226,fedavg,0.12903225806451613
large-family-set-2,308,0,anzhi,kuguo,0.4198355601233299,3892,0.34686536485097635,0.4295991778006166,0.6153648509763617,fedavg,0.07297019527235354
large-family-set-2,308,0,anzhi,smsreg,0.321875,1280,0.225,0.3265625,0.2515625,fedavg,0.09687500000000002
large-family-set-2,308,0,anzhi,utchi,0.18823529411764706,255,0.00784313725490196,0.18823529411764706,0.00784313725490196,fedavg,0.1803921568627451
large-family-set-2,308,0,anzhi,igexin,0.35135135135135137,185,0.2702702702702703,0.3675675675675676,0.07027027027027027,fedavg,0.08108108108108109
large-family-set-2,308,0,appchina,youmi,0.34277198211624443,671,0.30104321907600595,0.3412816691505216,0.29210134128166915,fedavg,0.04172876304023848
large-family-set-2,308,0,appchina,feiwo,0.3333333333333333,180,0.3,0.2222222222222222,0.31666666666666665,fedavg,0.033333333333333326
large-family-set-2,309,0,play-early,kuguo,0.9162011173184358,3580,0.8329608938547486,0.9053072625698324,0.5776536312849162,fedavg,0.0832402234636872
large-family-set-2,309,0,play-early,youmi,0.7098150782361309,703,0.635846372688478,0.6600284495021337,0.5405405405405406,fedavg,0.07396870554765289
large-family-set-2,309,0,play-late,smsreg,0.9250720461095101,1388,0.8912103746397695,0.9402017291066282,0.7968299711815562,fedavg,0.03386167146974062
large-family-set-2,309,0,play-late,utilcode,0.7916666666666666,96,0.7604166666666666,0.8125,0.71875,fedavg,0.03125
large-family-set-2,309,0,anzhi,utchi,0.003838771593090211,521,0.003838771593090211,0.05182341650671785,0.003838771593090211,fedavg,0.0
large-family-set-2,309,0,anzhi,igexin,0.5581395348837209,129,0.37209302325581395,0.5891472868217055,0.17054263565891473,fedavg,0.18604651162790697
large-family-set-2,309,0,appchina,feiwo,0.25663716814159293,226,0.3672566371681416,0.2345132743362832,0.3185840707964602,fedavg,-0.11061946902654868
large-family-set-2,309,0,appchina,autoins,0.0759493670886076,79,0.08860759493670886,0.10126582278481013,0.0759493670886076,fedavg,-0.012658227848101264
large-family-set-3,300,0,anzhi,adwo,0.6496746203904555,922,0.4880694143167028,0.6236442516268981,0.613882863340564,fedavg,0.16160520607375273
large-family-set-3,300,0,anzhi,ewind,0.3333333333333333,135,0.3111111111111111,0.31851851851851853,0.35555555555555557,fedavg,0.0222222222222222
large-family-set-3,300,0,anzhi,baiduprotect,0.7348484848484849,132,0.7196969696969697,0.7348484848484849,0.3787878787878788,fedavg,0.015151515151515138
large-family-set-3,300,0,anzhi,mobwin,0.28846153846153844,104,0.15384615384615385,0.28846153846153844,0.6153846153846154,fedavg,0.13461538461538458
large-family-set-3,300,0,appchina,airpush,0.6647077018249304,3233,0.6189297865759357,0.6826476956387256,0.5406742963192082,fedavg,0.04577791524899477
large-family-set-3,300,0,appchina,revmob,0.4090909090909091,924,0.08333333333333333,0.538961038961039,0.08982683982683982,fedavg,0.3257575757575758
large-family-set-3,300,0,appchina,plankton,0.8062678062678063,351,0.7578347578347578,0.8091168091168092,0.4586894586894587,fedavg,0.04843304843304841
large-family-set-3,301,0,play-early,adwo,0.907679033649698,1159,0.8395168248490078,0.9352890422778257,0.822260569456428,fedavg,0.06816220880069024
large-family-set-3,301,0,play-early,ewind,0.35019455252918286,257,0.3657587548638132,0.35797665369649806,0.245136186770428,fedavg,-0.01556420233463035
large-family-set-3,301,0,play-late,revmob,0.7341040462427746,519,0.26204238921001927,0.7418111753371869,0.2928709055876686,fedavg,0.4720616570327553
large-family-set-3,301,0,anzhi,baiduprotect,0.725,160,0.81875,0.725,0.55625,fedavg,-0.09375
large-family-set-3,301,0,anzhi,mobwin,0.2,105,0.13333333333333333,0.20952380952380953,0.14285714285714285,fedavg,0.06666666666666668
large-family-set-3,301,0,appchina,airpush,0.8439878234398782,2628,0.6856925418569254,0.8276255707762558,0.6248097412480974,fedavg,0.1582952815829528
large-family-set-3,301,0,appchina,plankton,0.6790123456790124,243,0.6255144032921811,0.6748971193415638,0.4074074074074074,fedavg,0.053497942386831254
large-family-set-3,302,0,play-early,airpush,0.7163531114327062,2764,0.7029667149059334,0.7793053545586107,0.6794500723589001,fedavg,0.01338639652677276
large-family-set-3,302,0,play-early,adwo,0.7963800904977375,1105,0.7529411764705882,0.8434389140271493,0.5466063348416289,fedavg,0.04343891402714928
large-family-set-3,302,0,anzhi,ewind,0.19767441860465115,172,0.1744186046511628,0.21511627906976744,0.3546511627906977,fedavg,0.023255813953488358
large-family-set-3,302,0,anzhi,baiduprotect,0.6182795698924731,186,0.6344086021505376,0.6236559139784946,0.25806451612903225,fedavg,-0.016129032258064502
