hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
descriptive,primary-set,fedavg,own-domain,0.1,ctk-mean-aggregation,,10,0.09975808395890862,0.08196615987132355,10,0.07169873486466398,0.13817476440182277,greater,0.0,0.0009765625,,0.03,true,false,true
descriptive,primary-set,fedavg,federation-wide,0.1,ctk-mean-aggregation,,10,0.14872525341602466,0.1519801227669102,10,0.1289547821686508,0.16170810269441832,greater,0.0,0.0009765625,,0.03,true,false,true
descriptive,replication-set,fedavg,own-domain,0.01,ctk-mean-aggregation,,10,0.023572508186389018,0.01157372942420265,7,0.000012823340145521662,0.061425925183790385,greater,0.0,0.080078125,,0.03,false,false,true
descriptive,replication-set,fedavg,federation-wide,0.01,ctk-mean-aggregation,,10,0.04991499461540772,0.04546334424269512,10,0.03396086237860147,0.06941844793226884,greater,0.0,0.0009765625,,0.03,true,false,true
descriptive,replication-set,fedavg,own-domain,0.05,ctk-mean-aggregation,,10,0.03661500358983719,0.02556251140266208,9,0.016750489500292537,0.06434979101253277,greater,0.0,0.0068359375,,0.03,false,false,true
descriptive,replication-set,fedavg,federation-wide,0.05,ctk-mean-aggregation,,10,0.054260734064028246,0.03893373600713901,9,0.031077072140777866,0.08023793924442038,greater,0.0,0.001953125,,0.03,true,false,true
descriptive,replication-set,fedavg,own-domain,0.1,ctk-mean-aggregation,,10,0.15725449089125765,0.1635203360627395,10,0.10729337463151975,0.19719506766142234,greater,0.0,0.0009765625,,0.03,true,false,true
descriptive,replication-set,fedavg,federation-wide,0.1,ctk-mean-aggregation,,10,0.1236887983182191,0.1297605181168969,10,0.07936246193556204,0.15989192059217533,greater,0.0,0.0009765625,,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.01,ctk-trimmed-mean-aggregation,,10,0.04246899263810383,0.05194641800878283,9,0.024462856609828547,0.05533567886166382,greater,0.03,0.080078125,0.16015625,0.03,false,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.01,ctk-trimmed-mean-aggregation,,10,0.05891748721701455,0.05581748626756719,10,0.03986251509863796,0.07891513856023052,greater,0.03,0.013671875,0.02734375,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.05,ctk-trimmed-mean-aggregation,,10,0.0643108740593866,0.05652512477766705,10,0.03898456924452562,0.10229885140231355,greater,0.03,0.0419921875,0.0419921875,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.05,ctk-trimmed-mean-aggregation,,10,0.08797744271106134,0.09164730676795327,10,0.059779452089519035,0.11154255855833954,greater,0.03,0.0029296875,0.0029296875,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.1,ctk-trimmed-mean-aggregation,,10,0.1259252920993707,0.13896932046421537,10,0.088287939711608,0.16127642259893893,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.1,ctk-trimmed-mean-aggregation,,10,0.13367286059467146,0.140100432200387,10,0.11102842076414401,0.15337805177759578,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.01,ctk-trimmed-mean-aggregation,,10,0.04680306250864352,0.053161189313782,9,0.026314951251128177,0.06407553927008289,greater,0.03,0.080078125,0.16015625,0.03,false,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.01,ctk-trimmed-mean-aggregation,,10,0.07004396601734852,0.06267321295618582,10,0.05129055840421018,0.11039572533019543,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.05,ctk-trimmed-mean-aggregation,,10,0.09631512107209621,0.07180483575964092,10,0.05979657575599902,0.15020178770803355,greater,0.03,0.0068359375,0.0068359375,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.05,ctk-trimmed-mean-aggregation,,10,0.13598504627743999,0.13487208464008552,10,0.10468935480825098,0.17025464456505976,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.1,ctk-trimmed-mean-aggregation,,10,0.09774835550374279,0.09218306073605925,10,0.06946931038553547,0.12559743355481578,greater,0.03,0.001953125,0.00390625,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.1,ctk-trimmed-mean-aggregation,,10,0.15213345294224742,0.1528985007099342,10,0.1389726632262561,0.1653370411452635,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,replication-set,fedavg,own-domain,0.01,ctk-trimmed-mean-aggregation,,10,0.03949319907359574,0.043003271172119495,9,0.021622284110785008,0.05638192911394864,greater,0.03,0.1611328125,0.322265625,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.01,ctk-trimmed-mean-aggregation,,10,0.04752712054957511,0.04810775816698577,8,0.022888063081465692,0.07381646698275789,greater,0.03,0.1611328125,0.322265625,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,own-domain,0.05,ctk-trimmed-mean-aggregation,,10,0.026208224743680363,0.023047895951539027,7,-0.002150444617509235,0.053543307213793245,greater,0.03,0.615234375,0.615234375,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,federation-wide,0.05,ctk-trimmed-mean-aggregation,,10,0.04200663817505803,0.04477182080096517,8,0.017403833147036838,0.06521160501168982,greater,0.03,0.1611328125,0.1611328125,0.03,false,false,true
H-CTRL-2,replication-set,fedavg,own-domain,0.1,ctk-trimmed-mean-aggregation,,10,0.15976465993874384,0.19325695854074473,10,0.09940537054204984,0.2078717633011227,greater,0.03,0.0029296875,0.005859375,0.03,true,false,true
