representation,seed,arm,n_scores,nonfinite,min,max,abs_gt_1e3,abs_gt_1e4,evidence_class
mcndroid-static,332,fedavg__peer-present__dose-all,224773,0,-79.56051635742188,163.43711853027344,0,0,D-post-hoc-diagnostic
mcndroid-static,332,local__peer-present__dose-all,224773,0,-31.455663681030273,68.73246765136719,0,0,D-post-hoc-diagnostic
mcndroid-static,333,central__family-absent-everywhere__dose-all,226664,0,-95.70934295654297,101.52082061767578,0,0,D-post-hoc-diagnostic
mcndroid-static,333,central__full-exposure__dose-all,226664,0,-87.4317855834961,120.77754211425781,0,0,D-post-hoc-diagnostic
mcndroid-static,333,central__peer-present__dose-all,226664,0,-85.12112426757812,122.78689575195312,0,0,D-post-hoc-diagnostic
mcndroid-static,333,fedavg__family-absent-everywhere__dose-all,226664,0,-76.40318298339844,152.48008728027344,0,0,D-post-hoc-diagnostic
mcndroid-static,333,fedavg__full-exposure__dose-all,226664,0,-86.91759490966797,172.12612915039062,0,0,D-post-hoc-diagnostic
mcndroid-static,333,fedavg__peer-present__dose-all,226664,0,-86.03009796142578,177.1319580078125,0,0,D-post-hoc-diagnostic
mcndroid-static,333,local__peer-present__dose-all,226664,0,-29.105533599853516,57.409751892089844,0,0,D-post-hoc-diagnostic
mcndroid-static,334,central__family-absent-everywhere__dose-all,227692,0,-75.02333068847656,88.92510223388672,0,0,D-post-hoc-diagnostic
mcndroid-static,334,central__full-exposure__dose-all,227692,0,-66.56694030761719,81.74131774902344,0,0,D-post-hoc-diagnostic
mcndroid-static,334,central__peer-present__dose-all,227692,0,-65.70516967773438,84.18760681152344,0,0,D-post-hoc-diagnostic
mcndroid-static,334,fedavg__family-absent-everywhere__dose-all,227692,0,-124.06310272216797,126.51361846923828,0,0,D-post-hoc-diagnostic
mcndroid-static,334,fedavg__full-exposure__dose-all,227692,0,-87.82815551757812,174.48269653320312,0,0,D-post-hoc-diagnostic
mcndroid-static,334,fedavg__peer-present__dose-all,227692,0,-90.23955535888672,157.13919067382812,0,0,D-post-hoc-diagnostic
mcndroid-static,334,local__peer-present__dose-all,227692,0,-27.567005157470703,44.112213134765625,0,0,D-post-hoc-diagnostic
mcndroid-static,335,central__family-absent-everywhere__dose-all,227945,0,-87.83851623535156,120.41084289550781,0,0,D-post-hoc-diagnostic
mcndroid-static,335,central__full-exposure__dose-all,227945,0,-59.14082336425781,143.57644653320312,0,0,D-post-hoc-diagnostic
mcndroid-static,335,central__peer-present__dose-all,227945,0,-72.69769287109375,133.51995849609375,0,0,D-post-hoc-diagnostic
mcndroid-static,335,fedavg__family-absent-everywhere__dose-all,227945,0,-101.92305755615234,183.90509033203125,0,0,D-post-hoc-diagnostic
mcndroid-static,335,fedavg__full-exposure__dose-all,227945,0,-105.16886901855469,181.8238525390625,0,0,D-post-hoc-diagnostic
mcndroid-static,335,fedavg__peer-present__dose-all,227945,0,-95.63854217529297,183.11351013183594,0,0,D-post-hoc-diagnostic
mcndroid-static,335,local__peer-present__dose-all,227945,0,-30.788724899291992,45.52226257324219,0,0,D-post-hoc-diagnostic
mcndroid-static,336,central__family-absent-everywhere__dose-all,227875,0,-70.44120025634766,85.73704528808594,0,0,D-post-hoc-diagnostic
mcndroid-static,336,central__full-exposure__dose-all,227875,0,-70.88604736328125,100.54798889160156,0,0,D-post-hoc-diagnostic
mcndroid-static,336,central__peer-present__dose-all,227875,0,-69.45136260986328,88.45388793945312,0,0,D-post-hoc-diagnostic
mcndroid-static,336,fedavg__family-absent-everywhere__dose-all,227875,0,-61.07977294921875,127.34477996826172,0,0,D-post-hoc-diagnostic
mcndroid-static,336,fedavg__full-exposure__dose-all,227875,0,-65.84154510498047,155.98785400390625,0,0,D-post-hoc-diagnostic
mcndroid-static,336,fedavg__peer-present__dose-all,227875,0,-70.54810333251953,137.32974243164062,0,0,D-post-hoc-diagnostic
mcndroid-static,336,local__peer-present__dose-all,227875,0,-27.276424407958984,46.252716064453125,0,0,D-post-hoc-diagnostic
