experiment,learner,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,evidence_class
replication-family-set,central,federation-wide,youmi,0.052330243466270354,0.0020330743687617587,0.10601545428053798,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,zdtad,0.22222222222222224,0.02777777777777778,0.5277777777777778,6,3,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,zdtad,0.015417457768858093,-0.029847159242001247,0.061462093132375085,6,4,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,domob,0.010077323409382685,-0.09704796402623363,0.10080540429480177,10,5,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,domob,0.09469527179296375,0.014324577184690752,0.17966343576133417,10,7,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,utchi,0.3644141788000958,0.010152641303435126,0.7368631583919325,6,3,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,utchi,0.356037352633821,0.011689108641496929,0.706809385474663,6,4,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,adwo,0.01011904761904761,0.0,0.022619047619047608,8,2,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,adwo,0.04260734991179674,0.024203274535797847,0.06227492333027505,8,8,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,dowgin,0.000035721895791607225,-0.03714244675869877,0.04239878663312654,10,3,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,dowgin,0.016058183368770178,0.0036072483243269307,0.027082205543338192,10,9,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,gappusin,0.01596487003463747,-0.014926289926289915,0.05277083486385815,10,3,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,gappusin,0.10028800035321399,0.07622490490034892,0.12774700140665016,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,airpush,0.1247143006568476,0.04506305979495862,0.1977577212194076,10,9,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,airpush,0.16014932379628907,0.12793161171320874,0.1906240397807109,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,leadbolt,0.2879403738103429,0.22163907726833423,0.3599686744946517,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,leadbolt,0.2918239008918865,0.2639444460700345,0.32730290455629485,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,revmob,0.35695720145418963,0.26053953588014156,0.44783102240228656,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,revmob,0.26803509818262755,0.2151314664072682,0.32009847624861065,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,central,own-domain,hiddad,-0.053893188854489155,-0.1058625730994152,-0.005359477124182999,6,1,C-post-confirmatory-evidence-preserving
natural-scarcity,central,federation-wide,hiddad,0.043278856739125605,-0.019881871183006636,0.13093982998786052,6,4,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,own-domain,airpush,0.1571785245647653,0.10803708665213312,0.21570652307378618,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,airpush,0.14256769667855643,0.106345599387348,0.18362370110414564,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,own-domain,revmob,0.06671679197994988,0.013263157894737114,0.13619172932330834,10,4,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,revmob,0.16004573298343222,0.05335828161337557,0.27979338824277367,10,9,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,own-domain,dowgin,0.009998091123021602,-0.0073194082855840845,0.027316969118680926,10,5,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,dowgin,0.03297614257594861,0.010246852359545333,0.058451023503040496,10,8,C-post-confirmatory-evidence-preserving
