measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
central-full-exposure-recall,report-json,family,dowgin,federation-wide,0.05,10,0.6961852903186267,0.862592426055312,-0.16640713573668503,-0.15279600028037565,0,-0.19377407279677736,-0.15026573423177697,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,dowgin,own-domain,0.05,9,0.4953467360654174,0.7151575680899418,-0.21981083202452442,-0.21379310344827585,0,-0.2638855548565028,-0.17429844641094588,0.00390625,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,gappusin,federation-wide,0.05,10,0.6312928441293117,0.698741474018804,-0.0674486298894923,-0.12894774886007104,2,-0.13167546425415189,0.04613314934024768,0.275390625,0.9580078125,1.0,0.03,false,false,false
central-full-exposure-recall,report-json,family,gappusin,own-domain,0.05,6,0.44294848792040836,0.5686453931885397,-0.12569690526813135,0.0,2,-0.36666666666666664,0.08655799669265297,0.625,0.78125,,0.03,false,false,false
central-full-exposure-recall,report-json,family,hiddad,federation-wide,0.05,10,0.24795679348134936,0.40861135417033195,-0.1606545606889827,-0.1263292790596545,0,-0.251558294542277,-0.09100863183642084,0.001953125,1.0,0.017578125,0.03,false,true,false
central-full-exposure-recall,report-json,family,hiddad,own-domain,0.05,8,0.41748336537659003,0.53481534503532,-0.11733197965873006,-0.1308202700605308,2,-0.29817457949071235,0.07474275032167944,0.25,0.90234375,,0.03,false,false,false
central-full-exposure-recall,report-json,family,leadbolt,federation-wide,0.05,10,0.23152421546617935,0.6341154823822316,-0.40259126691605224,-0.4141925745289198,0,-0.4772687318731643,-0.3352845810419495,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,leadbolt,own-domain,0.05,7,0.26890541874579516,0.6829609819189105,-0.41405556317311554,-0.43392857142857144,0,-0.5453650963260245,-0.2577698193002636,0.015625,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,revmob,federation-wide,0.05,10,0.1826909237395217,0.31747084707645895,-0.13477992333693728,-0.15220830443828015,2,-0.20735656230204183,-0.058957523941764664,0.013671875,0.998046875,0.095703125,0.03,false,true,false
central-full-exposure-recall,report-json,family,revmob,own-domain,0.05,8,0.08472222222222223,0.2987254901960784,-0.21400326797385621,-0.1715686274509804,1,-0.34444444444444444,-0.08467320261437908,0.0234375,0.99609375,,0.03,false,true,false
central-full-exposure-recall,report-json,priority-macro,,federation-wide,0.05,10,0.3539801871167275,0.47494122508853165,-0.1209610379718041,-0.12656938117892153,2,-0.1756211265903026,-0.05221627355419089,0.009765625,0.998046875,,0.03,false,true,false
central-full-exposure-recall,report-json,priority-macro,,own-domain,0.05,9,0.29724342072413434,0.44132390526940246,-0.1440804845452681,-0.13052208835341364,1,-0.2504353866858502,-0.01379185175644256,0.0546875,0.98046875,,0.03,false,true,false
fedavg-ctk,call-graph,contrast-macro,,federation-wide,0.05,10,0.3718806561338575,0.22631120485925357,0.1455694512746039,0.16304230985974677,10,0.10226809621887396,0.1747639001922917,0.001953125,0.001953125,,0.03,true,false,false
fedavg-ctk,call-graph,contrast-macro,,own-domain,0.05,10,0.22306536181874007,0.15687018127993624,0.06619518053880385,0.04190613894968881,6,0.0058200815689875745,0.1315244220916985,0.16015625,0.2158203125,,0.03,false,false,false
fedavg-ctk,call-graph,family,adwo,federation-wide,0.05,10,0.11910514858994539,0.06494281472118532,0.05416233386876005,0.04063905164191303,7,0.019576381118714486,0.10119982752868197,0.037109375,0.24609375,,0.03,false,false,false
fedavg-ctk,call-graph,family,adwo,own-domain,0.05,8,0.08836829125653395,0.08647646055905986,0.001891830697474093,-0.0044637451427187586,4,-0.05371099918751305,0.04665486365140596,1.0,0.80859375,,0.03,false,false,false
fedavg-ctk,call-graph,family,airpush,federation-wide,0.05,10,0.516324311829812,0.3065825986072833,0.20974171322252855,0.24823197245224587,8,0.09478616700826908,0.29091370590070104,0.009765625,0.0048828125,,0.03,true,false,false
fedavg-ctk,call-graph,family,airpush,own-domain,0.05,10,0.29535095190244565,0.235415812040123,0.059935139862322614,0.07109004739336505,6,-0.033848687101556564,0.1532618169484785,0.232421875,0.2783203125,,0.03,false,false,false
fedavg-ctk,call-graph,family,dowgin,federation-wide,0.05,10,0.09445482307342673,0.017060042440503485,0.07739478063292324,0.07282606491900326,9,0.042775362451335286,0.12477277739331724,0.009765625,0.0322265625,,0.03,true,false,false
