representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,airpush,own-domain,336,0.9642857142857143,1.0,-0.0357142857142857,central-full-exposure-recall
call-graph,family,airpush,own-domain,337,0.9353574926542605,0.8765915768854065,0.05876591576885404,central-full-exposure-recall
call-graph,family,airpush,own-domain,338,0.9523809523809523,0.9047619047619048,0.04761904761904756,central-full-exposure-recall
call-graph,family,airpush,own-domain,339,0.8626373626373627,0.9835164835164835,-0.12087912087912078,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,330,0.5568050749711649,0.7168396770472895,-0.16003460207612452,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,331,0.8937282229965157,0.9779326364692218,-0.08420441347270613,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,332,0.7380007217610971,0.8780223745940093,-0.14002165283291224,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,333,0.9058782365290413,0.9846046186144157,-0.07872638208537441,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,334,0.4829528609546398,0.8111473465757486,-0.3281944856211088,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,335,0.6034912718204489,0.8011221945137157,-0.19763092269326676,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,336,0.9261083743842364,0.9825944170771757,-0.05648604269293922,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,337,0.5878403580753451,0.8082804923535994,-0.22044013427825437,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,338,0.8666666666666667,0.9700374531835206,-0.10337078651685394,central-full-exposure-recall
call-graph,family,dowgin,federation-wide,339,0.5382154283682901,0.6953430501244223,-0.15712762175613226,central-full-exposure-recall
call-graph,family,dowgin,own-domain,330,0.5655257477644157,0.7329633055812519,-0.16743755781683622,central-full-exposure-recall
call-graph,family,dowgin,own-domain,331,0.4444444444444444,0.6666666666666666,-0.2222222222222222,central-full-exposure-recall
call-graph,family,dowgin,own-domain,332,0.7527959892016969,0.8866178172001543,-0.13382182799845743,central-full-exposure-recall
call-graph,family,dowgin,own-domain,333,0.5,0.75,-0.25,central-full-exposure-recall
call-graph,family,dowgin,own-domain,334,0.39226519337016574,0.5911602209944752,-0.19889502762430944,central-full-exposure-recall
call-graph,family,dowgin,own-domain,335,0.5893719806763285,0.6183574879227053,-0.02898550724637683,central-full-exposure-recall
call-graph,family,dowgin,own-domain,336,0.875,0.9375,-0.0625,central-full-exposure-recall
call-graph,family,dowgin,own-domain,337,0.496551724137931,0.5379310344827586,-0.04137931034482756,central-full-exposure-recall
call-graph,family,dowgin,own-domain,339,0.5518304431599229,0.7152215799614644,-0.1633911368015415,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,330,0.6133603238866396,0.3319838056680162,0.2813765182186234,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,331,0.3670103092783505,0.2536082474226804,0.11340206185567009,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,332,0.6123128119800333,0.47088186356073214,0.14143094841930115,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,333,0.924908424908425,0.9358974358974359,-0.01098901098901095,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,334,0.914179104477612,0.9272388059701493,-0.013059701492537323,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,335,0.34476843910806176,0.3259005145797599,0.018867924528301883,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,336,0.9551656920077972,0.949317738791423,0.005847953216374213,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,337,0.9508506616257089,0.945179584120983,0.005671077504725841,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,338,0.8337129840546698,0.9225512528473804,-0.08883826879271062,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,339,0.9229287090558767,0.9248554913294798,-0.0019267822736031004,central-full-exposure-recall
call-graph,family,gappusin,own-domain,330,0.6024096385542169,0.40963855421686746,0.19277108433734946,central-full-exposure-recall
call-graph,family,gappusin,own-domain,331,0.5176470588235295,0.27058823529411763,0.24705882352941183,central-full-exposure-recall
call-graph,family,gappusin,own-domain,332,0.7215189873417721,0.5316455696202531,0.189873417721519,central-full-exposure-recall
call-graph,family,gappusin,own-domain,334,0.9,0.95,-0.04999999999999993,central-full-exposure-recall
call-graph,family,gappusin,own-domain,335,0.4166666666666667,0.3125,0.10416666666666669,central-full-exposure-recall
call-graph,family,gappusin,own-domain,339,0.875,0.9375,-0.0625,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,330,0.22992700729927007,0.17883211678832117,0.0510948905109489,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,331,0.06722689075630252,0.0861344537815126,-0.018907563025210086,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,332,0.30694980694980695,0.38996138996138996,-0.08301158301158301,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,333,0.2894736842105263,0.25877192982456143,0.030701754385964897,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,334,0.5,0.6223021582733813,-0.12230215827338131,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,335,0.6407407407407407,0.7814814814814814,-0.14074074074074072,central-full-exposure-recall
