measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
central-full-exposure-recall,mcndroid-static,family,adwo,own-domain,0.05,8,0.7205753435040763,0.6358079648061479,0.7956892758418956
central-full-exposure-recall,mcndroid-static,family,airpush,federation-wide,0.05,10,0.6147336387774487,0.5157059456549817,0.7450157113120084
central-full-exposure-recall,mcndroid-static,family,airpush,own-domain,0.05,10,0.9052676337747195,0.8229508375661507,0.9452421336019824
central-full-exposure-recall,mcndroid-static,family,dowgin,federation-wide,0.05,10,0.8582170617991489,0.795940415479166,0.9211390065466477
central-full-exposure-recall,mcndroid-static,family,dowgin,own-domain,0.05,9,0.7813043404896067,0.7251110623443142,0.8488262903467207
central-full-exposure-recall,mcndroid-static,family,gappusin,federation-wide,0.05,10,0.844343268533704,0.7523050986832751,0.912413773936289
central-full-exposure-recall,mcndroid-static,family,gappusin,own-domain,0.05,6,0.7552949667869792,0.6484120553945741,0.9079861111111112
central-full-exposure-recall,mcndroid-static,family,hiddad,federation-wide,0.05,10,0.42188144757654616,0.2710013885221504,0.567542660562494
central-full-exposure-recall,mcndroid-static,family,hiddad,own-domain,0.05,8,0.5556625957335182,0.4839366515837104,0.6539843389429663
central-full-exposure-recall,mcndroid-static,family,leadbolt,federation-wide,0.05,10,0.5941641019730448,0.49239446103379136,0.7116924972887309
central-full-exposure-recall,mcndroid-static,family,leadbolt,own-domain,0.05,7,0.7091311311464613,0.6458217346390379,0.7876767590339183
central-full-exposure-recall,mcndroid-static,family,revmob,federation-wide,0.05,10,0.40391591949629496,0.2852578780947792,0.5967038700328493
central-full-exposure-recall,mcndroid-static,family,revmob,own-domain,0.05,8,0.48299019607843136,0.3404901960784314,0.6833245738365994
central-full-exposure-recall,mcndroid-static,priority-macro,,federation-wide,0.05,10,0.5567135452021817,0.46972411815469495,0.6432370040544487
central-full-exposure-recall,mcndroid-static,priority-macro,,own-domain,0.05,9,0.563684233302496,0.4965561461881424,0.6804557407033847
central-full-exposure-recall,report-json,contrast-macro,,federation-wide,0.05,10,0.4534884045789479,0.40395358734436126,0.5093767522178183
central-full-exposure-recall,report-json,contrast-macro,,own-domain,0.05,10,0.4042643855958284,0.34086500491379995,0.5012299602535925
central-full-exposure-recall,report-json,family,adwo,federation-wide,0.05,10,0.27320234184129505,0.17606733016915616,0.43632927993514764
central-full-exposure-recall,report-json,family,adwo,own-domain,0.05,8,0.16519394413623728,0.12897062017380528,0.1827618622259414
central-full-exposure-recall,report-json,family,airpush,federation-wide,0.05,10,0.43275570795203755,0.34225811892962615,0.5632848136868416
central-full-exposure-recall,report-json,family,airpush,own-domain,0.05,10,0.3948419612785682,0.3401694307927793,0.4725249970301812
central-full-exposure-recall,report-json,family,dowgin,federation-wide,0.05,10,0.6961852903186267,0.6262342502251792,0.7746124148351248
central-full-exposure-recall,report-json,family,dowgin,own-domain,0.05,9,0.4953467360654174,0.3953047087109512,0.6253003086443678
central-full-exposure-recall,report-json,family,gappusin,federation-wide,0.05,10,0.6312928441293117,0.47520061663605945,0.7439945272493298
central-full-exposure-recall,report-json,family,gappusin,own-domain,0.05,6,0.44294848792040836,0.375,0.4909360263092579
