evidence_class,client,learner,alpha,population,local_recall,absent_recall,peer_recall,full_recall,total_gain,total_ci_low,total_ci_high,pooling_gain,pooling_ci_low,pooling_ci_high,ctk_gain,ctk_ci_low,ctk_ci_high,ctk_positive_seeds,known_family_recall_local,known_family_recall_collaborative,known_family_change,known_family_change_ci_low,known_family_change_ci_high,realised_fpr,hidden_family_trials_per_seed,contributing_seeds,eligible_pairs,interval_status
C-post-confirmatory-evidence-preserving,appchina,fedavg,0.05,own-domain,0.40218619391879296,0.3694022641867865,0.39456242293870347,0.44145189020245734,-0.007623770980089514,-0.05284288682347547,0.02843370923685308,-0.03278392973200646,-0.09498522605222275,0.005439004749392875,0.02516015875191694,0.0019524397447866076,0.05036973736794255,6,0.7193091564071423,0.7044821656659528,-0.014826990741189483,-0.029898634530533555,0.0055145717805942015,0.048681235349961056,995.9,10,24,formal-bca-interval
C-post-confirmatory-evidence-preserving,appchina,fedprox,0.05,own-domain,0.40218619391879296,0.3809058044060417,0.46719286103949614,0.5604099557171588,0.06500666712070323,0.018482376851753194,0.14043453695857588,-0.02128038951275126,-0.13084867432133682,0.06872153979909125,0.0862870566334545,0.04690899171435388,0.19545184280274175,9,0.7193091564071423,0.7394000685093504,0.02009091210220797,0.005253140130669042,0.033821832759322476,0.047358979028764014,995.9,10,24,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-early,central,0.05,federation-wide,0.6212820073597274,0.7045185939252538,0.8157571750140515,0.8855891365377596,0.19447516765432407,0.10118781986726413,0.3204054429075024,0.08323658656552657,-0.03281275887653145,0.21822971535806612,0.11123858108879747,0.054049377496465295,0.24321908812095624,10,0.7480956615230021,0.7716188342326902,0.023523172709687977,0.0047519370655863084,0.03357391445970113,0.04675775666558624,3889.5,10,18,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-early,fedavg,0.05,federation-wide,0.6212820073597274,0.7056153817712203,0.787522403027158,0.8451799756077574,0.16624039566743062,0.09205497216428797,0.2549006885763808,0.08433337441149297,-0.002721095077390736,0.19785136272799225,0.08190702125593766,0.042851867517469854,0.1993961252536665,10,0.7480956615230021,0.7339239371470705,-0.014171724375931605,-0.03609031504463616,-0.0003359020606842466,0.044485576788352174,3889.5,10,18,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-early,fedprox,0.05,federation-wide,0.6212820073597274,0.6412323223388524,0.7664286919003563,0.8356335876767389,0.14514668454062893,0.042815871113210925,0.27697901323008767,0.019950314979124983,-0.11545081598388844,0.19228039167473715,0.12519636956150396,0.07479981476909475,0.21239788510581814,10,0.7480956615230021,0.7194373535652294,-0.028658307957772654,-0.04344835111725737,-0.015207996483820525,0.04654327658580018,3889.5,10,18,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-early,central,0.05,own-domain,0.5973378804788109,0.5698247264472965,0.6699830955255838,0.8018533838856443,0.07264521504677299,0.0048734981391916656,0.21177544850785468,-0.027513154031514265,-0.10809391516478933,0.16044523527670942,0.10015836907828726,0.030121715841308128,0.2417409533273107,7,0.7480956615230021,0.7716188342326902,0.023523172709687977,0.0047519370655863084,0.03357391445970113,0.04675775666558624,1321.6,10,18,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-early,fedavg,0.05,own-domain,0.5973378804788109,0.585037729054052,0.6753701849246407,0.7842327420767775,0.07803230444583008,0.035143522459266656,0.14884350830566506,-0.01230015142475877,-0.06623536755880913,0.07513728145251895,0.09033245587058887,0.02864407631689979,0.19618614005039373,8,0.7480956615230021,0.7339239371470705,-0.014171724375931605,-0.03609031504463616,-0.0003359020606842466,0.044485576788352174,1321.6,10,18,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-early,fedprox,0.05,own-domain,0.5973378804788109,0.4726359760047507,0.6264131244429898,0.7432789872535166,0.029075243964178977,-0.035192403978500285,0.17079347047209797,-0.12470190447406007,-0.19153587375831393,0.04789653341419969,0.15377714843823903,0.09897026416253735,0.22906952127042735,9,0.7480956615230021,0.7194373535652294,-0.028658307957772654,-0.04344835111725737,-0.015207996483820525,0.04654327658580018,1321.6,10,18,formal-bca-interval
C-post-confirmatory-evidence-preserving,play-late,central,0.05,federation-wide,0.4934160721528653,0.5467245504541671,0.8681529841227927,0.8948258872365816,0.37473691196992737,,,0.053308478301301844,,,0.32142843366862556,,,6,0.745185980284617,0.7361736044454102,-0.009012375839206565,-0.037939141170025295,0.008921450367822428,0.0511556798326195,1801.6666666666667,6,11,descriptive-too-few-seeds
C-post-confirmatory-evidence-preserving,play-late,fedavg,0.05,federation-wide,0.4934160721528653,0.4842632281458643,0.8121065997713051,0.8621201447887206,0.31869052761843975,,,-0.009152844007000996,,,0.32784337162544075,,,6,0.745185980284617,0.7085580172651741,-0.0366279630194427,-0.05490760907191506,-0.01574025396637644,0.05012017619921653,1801.6666666666667,6,11,descriptive-too-few-seeds
C-post-confirmatory-evidence-preserving,play-late,fedprox,0.05,federation-wide,0.4934160721528653,0.620059576548147,0.877237553787028,0.8946596545728615,0.3838214816341627,,,0.1266435043952817,,,0.257177977238881,,,6,0.745185980284617,0.7294365280428841,-0.015749452241732943,-0.039270199633752265,0.010919620953419328,0.05075687913189013,1801.6666666666667,6,11,descriptive-too-few-seeds
C-post-confirmatory-evidence-preserving,play-late,central,0.05,own-domain,0.46189243916927647,0.27102190553342576,0.7139751420764222,0.8415199778313903,0.2520827029071457,,,-0.19087053363585083,,,0.44295323654299645,,,6,0.745185980284617,0.7361736044454102,-0.009012375839206565,-0.037939141170025295,0.008921450367822428,0.0511556798326195,107.0,6,11,descriptive-too-few-seeds
C-post-confirmatory-evidence-preserving,play-late,fedavg,0.05,own-domain,0.46189243916927647,0.17543348493417996,0.6094682520844729,0.7858483484394073,0.14757581291519625,,,-0.2864589542350966,,,0.4340347671502928,,,6,0.745185980284617,0.7085580172651741,-0.0366279630194427,-0.05490760907191506,-0.01574025396637644,0.05012017619921653,107.0,6,11,descriptive-too-few-seeds
C-post-confirmatory-evidence-preserving,play-late,fedprox,0.05,own-domain,0.46189243916927647,0.4129650212753094,0.7332235246244131,0.829036338330445,0.2713310854551367,,,-0.04892741789396712,,,0.3202585033491038,,,6,0.745185980284617,0.7294365280428841,-0.015749452241732943,-0.039270199633752265,0.010919620953419328,0.05075687913189013,107.0,6,11,descriptive-too-few-seeds
