evidence_class,experiment,population,scope,client,family,seed_count,observations,cells,pooling_mean,pooling_ci_low,pooling_ci_high,hurt_seeds,hurts,hurts_interval_below_zero,ctk_mean,ctk_ci_low,ctk_ci_high,repair_mean,repair_ci_low,repair_ci_high,new_capability_mean,new_capability_ci_low,new_capability_ci_high,harm_mean,harm_ci_low,harm_ci_high,repair_share
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-early,hiddad,3,3,1,0.07726014282914669,0.06615677123844092,0.09683098591549295,0,false,false,0.02238902258073548,-0.01633393829401089,0.045690811535881976,0.0,,,0.02783366867873911,0.0,0.0535714285714286,-0.00544464609800363,-0.01633393829401089,0.0,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-early,gappusin,1,1,1,0.23409669211195927,,,0,false,false,0.059160305343511466,,,0.0,,,0.059160305343511466,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-late,airpush,2,2,1,0.12014172567826653,,,0,false,false,0.12370592421587634,,,0.0,,,0.12370592421587634,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,adwo,1,1,1,0.006772009029345383,,,0,false,false,-0.018058690744921002,,,0.0,,,0.0,,,-0.018058690744921002,,,
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,adwo,10,10,3,-0.10706161432181646,-0.2229002779647854,-0.024923856804976673,6,true,true,0.10111359357579727,0.05774724433474375,0.14758726867047006,0.059924718389158096,0.021594557284453437,0.12193694388163331,0.04299474426113127,0.015247357827311148,0.09557805561126356,-0.0018058690744921003,-0.009029345372460501,0.0,0.582248651965631
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,dowgin,10,10,3,0.10995239473156149,0.006012344509624552,0.22627697305073113,3,false,false,0.0031534969522572843,-0.01431799908356544,0.017644760835394627,0.0047604231487243355,0.0,0.023802115743621677,0.007406766649534435,0.003220891515980695,0.01267842748148856,-0.009013692846001486,-0.02373086410024037,-0.0009931719428926122,0.39125083340161204
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,gappusin,10,10,3,-0.03963398362528085,-0.09556018748361347,0.0530575764251742,7,true,false,0.028790209397913703,0.008832392579559272,0.04846658484334955,0.01923027397139001,0.006238035621281719,0.040203749881080185,0.0122141411011811,0.0,0.03626034327106449,-0.002654205674657406,-0.009932672185516741,0.0,0.611564054443631
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,hiddad,10,10,4,-0.06153538871199306,-0.20801965816591067,0.01532576873083328,4,true,false,0.0292301117035615,0.015580979247893423,0.04737516095835603,0.01437869909295425,0.0038226186052273043,0.04367497945447243,0.01648480644000834,0.006356872119567555,0.02950512262108316,-0.0016333938294010892,-0.008166969147005446,0.0,0.4658802959889838
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,leadbolt,10,10,4,0.004537894997214957,-0.04771648693408826,0.08665550608276097,5,false,false,0.2765368777414715,0.21665164671617348,0.3233000942449087,0.03917011095256797,0.013791190793352712,0.07662758197943863,0.23736676678890353,0.17706786686378362,0.2907608990727177,0.0,,,0.14164516238296174
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,airpush,10,10,3,0.030459662134851424,-0.005567460822319605,0.08538607229765911,3,false,false,0.08412510690178553,0.055087177996238815,0.11797838288912235,0.014327953775682623,0.002789699570815452,0.03541303392364813,0.0697971531261029,0.041911458549700534,0.10909404334879749,0.0,,,0.1703172132953155
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,,revmob,10,10,2,-0.07709291163891906,-0.15240366353097984,-0.03038552584656913,9,true,true,0.3426517165061308,0.25832774126188307,0.4844276668276662,0.07727809682410425,0.03069115325187051,0.15283228570289592,0.2653736196820266,0.17921317122632266,0.4244342467350877,0.0,,,0.22552957741486043
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client,anzhi,,8,17,5,-0.08975109944278736,-0.1495219242799197,-0.0319623150838022,6,true,true,0.09899778241005809,0.06033191649173203,0.1519758392457456,0.04245306256697595,0.01740017160994143,0.07703332835424398,0.059922298081395424,0.02494743904078881,0.10246339447789624,-0.0033775782383132897,-0.007057659238385633,-0.0012312844759653253,0.4146804689928221
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client,appchina,,10,24,7,-0.013533127737659013,-0.04081814780035725,0.02569190774559202,7,true,false,0.09295666353854573,0.04947241477841801,0.13195857027529911,0.019689224546119398,0.010375400545243885,0.02715279948764112,0.07603453585367126,0.03969519364520467,0.10987974343233926,-0.0027670968612449275,-0.008184704084721228,0.0,0.20568795525674372
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client,play-early,,10,18,6,0.04869638439342088,-0.017498339763161185,0.12607464644503408,4,false,false,0.09117797713698554,0.05273849935363604,0.19936047717157707,0.03181136703172534,0.011538254204867171,0.06333563605479621,0.05977495856261047,0.03540795712690014,0.1318985967340908,-0.0004083484573502723,-0.0020417422867513614,0.0,0.3473375181861508
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client,play-late,,6,11,4,-0.03768551583405278,-0.1638568692549642,0.041685899612241874,3,true,false,0.339019314910743,0.25619587737472455,0.43885312872035653,0.07716823525646796,0.019701482369175852,0.18650069941349354,0.261851079654275,0.1624754845878582,0.3910219263056908,0.0,,,0.22762194324174365
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,overall,,,10,70,22,-0.020053420919197363,-0.06160168015904688,0.017155324962371713,5,true,false,0.1236573018255597,0.10161795183658975,0.15253710958220695,0.03272432516494021,0.01995656279235664,0.05379735015835787,0.09309114257841261,0.07511408054890362,0.128918710164274,-0.002158165917793155,-0.003833517093246127,-0.0008767710293078577,0.2600977904536632
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,anzhi,kuguo,3,3,1,-0.18051643279779286,-0.27397928124024645,-0.01701979854116009,3,true,true,0.009068035006314793,-0.04376519624869746,0.05689001264222504,0.023656433755880613,0.004693096208472265,0.05689001264222504,0.0,,,-0.01458839874956582,-0.04376519624869746,0.0,1.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,appchina,domob,2,2,1,0.14115174443043293,,,0,false,false,-0.008638083228247107,,,0.0,,,0.019230769230769273,,,-0.02786885245901638,,,0.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,appchina,utchi,2,2,1,0.0,,,0,false,false,-0.0975609756097561,,,0.0,,,0.0,,,-0.0975609756097561,,,
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,appchina,youmi,2,2,1,-0.02166666666666668,,,1,true,false,-0.018000000000000002,,,0.0,,,0.0,,,-0.018000000000000002,,,
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,appchina,zdtad,6,6,1,-0.2777777777777778,-0.6666666666666666,-0.055555555555555546,4,true,true,0.11111111111111112,0.02777777777777778,0.22222222222222224,0.11111111111111112,0.02777777777777778,0.22222222222222224,0.0,,,0.0,,,1.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,play-early,dnotua,5,5,1,0.009847371396269077,-0.0442509892594686,0.059999999999999984,1,false,false,0.029082542421627843,0.0035087719298245723,0.10229508196721308,0.01704918032786884,0.0,0.06819672131147536,0.012033362093759003,0.0,0.03409836065573772,0.0,,,0.5862341772151894
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,play-early,inmobi,2,2,1,0.01592345006556445,,,1,false,false,0.1773289134640954,,,0.05285961871750433,,,0.12446929474659107,,,0.0,,,0.2980879862448774
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,play-late,smsreg,5,5,1,0.09417420814479639,-0.05288461538461538,0.22500000000000003,2,false,false,-0.02058823529411765,-0.2573529411764706,0.1,0.0,,,0.05,0.0,0.1,-0.07058823529411765,-0.2823529411764706,0.0,0.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,anzhi,utchi,4,4,1,0.0,,,0,false,false,0.2181372549019608,0.0,0.6544117647058824,0.0,,,0.2181372549019608,0.0,0.6544117647058824,0.0,,,0.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,appchina,kuguo,4,4,1,-0.06981166106803371,-0.10600151435027168,-0.014366329821753579,3,true,true,-0.061648374239035145,-0.13140021978551966,-0.021893979456115847,0.0,,,0.0,,,-0.061648374239035145,-0.13140021978551966,-0.021893979456115847,
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,appchina,smsreg,2,2,1,0.11699184773840011,,,0,false,false,0.024669465248014735,,,0.0,,,0.024669465248014735,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,play-early,youmi,2,2,1,0.09946236559139793,,,0,false,false,0.04892473118279567,,,0.0,,,0.04892473118279567,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,play-late,dnotua,2,2,1,0.005952380952380959,,,0,false,false,0.07142857142857142,,,0.0,,,0.07142857142857142,,,0.0,,,0.0
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client-family-cell,play-late,inmobi,3,3,1,0.27615914786967416,-0.006578947368421055,0.7857142857142857,1,false,false,0.03273809523809523,0.0,0.0625,0.020833333333333332,0.0,0.0625,0.011904761904761899,0.0,0.0357142857142857,0.0,,,0.6363636363636365
