mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,scope,experiment,salt,alpha,metric,learner,aggregation,sensitivity,exceeds_practical_threshold,ci_excludes_zero
0.027797910822818617,0.010148136575134106,0.002728289256162756,0.07883971791879318,8,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,worst-client-unseen-recall,fedavg,paired-seed-macro,,false,true
0.12488463997689396,0.09922043472201741,0.102846194288798,0.15604282914718254,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,family-macro-unseen-recall,central,paired-seed-macro,,true,true
0.11923381017680172,0.1146396381756016,0.09116163689473387,0.1562906510696236,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,federation-unseen-recall,central,paired-seed-macro,,true,true
0.1402130386633078,0.1650564295042829,0.08233637233725262,0.19455962308609182,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.1465064024928862,0.16468760854706602,0.11666563000766808,0.17223842140435613,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.12552640765736583,0.1316279864677124,0.10305624695544774,0.14411981239183175,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,family-macro-unseen-recall,fedavg,paired-seed-macro,,true,true
0.11713257541825361,0.1294736836305665,0.08957170670018247,0.14120712792026055,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,federation-unseen-recall,fedavg,paired-seed-macro,,true,true
0.09001293866772753,0.06103288367014731,0.0584233196611474,0.13456562096666172,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,own-domain-unseen-recall,fedavg,paired-seed-macro,,true,true
0.14555408700979014,0.1492203207982404,0.10819305327495952,0.19345001092918357,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,worst-client-unseen-recall,fedavg,paired-seed-macro,,true,true
0.14556418263882884,0.1520849917223972,0.12532237059533377,0.15995936327553006,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,family-macro-unseen-recall,central,paired-seed-macro,,true,true
