experiment,learner,condition,alpha,mean_realised_fpr,mean_worst_client_fpr,runs,valid_operating_runs,mean_fpr_deviation_from_target,evidence_class
family-support-sensitivity-high,central,family-absent-everywhere,0.05,0.05081467777764524,0.06268396218532331,10,10,0.0008146777776452396,B-confirmatory-sensitivity
family-support-sensitivity-high,central,family-absent-everywhere,0.1,0.10169803329630103,0.12337162032472507,10,10,0.001698033296301027,B-confirmatory-sensitivity
family-support-sensitivity-high,central,full-exposure,0.01,0.010899385286223475,0.014632789073410146,10,10,0.0008993852862234746,B-confirmatory-sensitivity
family-support-sensitivity-high,central,full-exposure,0.05,0.05203346767483439,0.06506764087736573,10,10,0.002033467674834387,B-confirmatory-sensitivity
family-support-sensitivity-high,central,full-exposure,0.1,0.10299809256632073,0.12494341974377403,10,10,0.0029980925663207203,B-confirmatory-sensitivity
family-support-sensitivity-high,central,peer-present,0.01,0.010531584100707187,0.014393474812010545,10,10,0.0005315841007071873,B-confirmatory-sensitivity
family-support-sensitivity-high,central,peer-present,0.05,0.052109591610787855,0.06493291307848428,10,10,0.002109591610787852,B-confirmatory-sensitivity
family-support-sensitivity-high,central,peer-present,0.1,0.10233789842055714,0.12408007225523095,10,10,0.0023378984205571357,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,family-absent-everywhere,0.01,0.010430282527666526,0.014151110930645888,10,10,0.00043028252766652564,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,family-absent-everywhere,0.05,0.050242963567514246,0.06329650572281002,10,10,0.00024296356751424275,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,family-absent-everywhere,0.1,0.10264056326446665,0.12473667477572689,10,10,0.0026405632644666416,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,full-exposure,0.01,0.01029101831063395,0.014144696296197985,10,10,0.00029101831063394965,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,full-exposure,0.05,0.05024091141937052,0.0635018119547037,10,10,0.0002409114193705139,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,full-exposure,0.1,0.10030202050422383,0.1209644597834694,10,10,0.0003020205042238294,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,peer-present,0.01,0.010591660158445624,0.01453710782558421,10,10,0.0005916601584456237,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,peer-present,0.05,0.050549273344032766,0.06347842881284342,10,10,0.0005492733440327635,B-confirmatory-sensitivity
family-support-sensitivity-high,fedavg,peer-present,0.1,0.10200161162446855,0.12340806852899877,10,10,0.0020016116244685467,B-confirmatory-sensitivity
family-support-sensitivity-high,local,peer-present,0.01,0.01022748125708334,0.014062736970576934,10,10,0.0002274812570833406,B-confirmatory-sensitivity
family-support-sensitivity-high,local,peer-present,0.05,0.05023574365528262,0.06095870082617037,10,10,0.00023574365528261643,B-confirmatory-sensitivity
family-support-sensitivity-high,local,peer-present,0.1,0.10100146437794413,0.1204573688047135,10,10,0.001001464377944128,B-confirmatory-sensitivity
family-support-sensitivity-low,central,family-absent-everywhere,0.01,0.011224387492974,0.015713366975452534,10,10,0.0012243874929740006,B-confirmatory-sensitivity
family-support-sensitivity-low,central,family-absent-everywhere,0.05,0.05284523124944775,0.07025103540991005,10,10,0.002845231249447744,B-confirmatory-sensitivity
family-support-sensitivity-low,central,family-absent-everywhere,0.1,0.1064506866075026,0.13835201792743773,10,10,0.006450686607502601,B-confirmatory-sensitivity
family-support-sensitivity-low,central,full-exposure,0.01,0.011538832770144223,0.01569763907561886,10,10,0.001538832770144223,B-confirmatory-sensitivity
family-support-sensitivity-low,central,full-exposure,0.05,0.05431394312445899,0.0730741386256706,10,10,0.004313943124458985,B-confirmatory-sensitivity
family-support-sensitivity-low,central,full-exposure,0.1,0.10587583100496838,0.13655683718774583,10,10,0.005875831004968371,B-confirmatory-sensitivity
family-support-sensitivity-low,central,peer-present,0.01,0.011151364118672069,0.016108294414875386,10,10,0.001151364118672069,B-confirmatory-sensitivity
family-support-sensitivity-low,central,peer-present,0.05,0.053739184132096926,0.071241897109486,10,10,0.0037391841320969232,B-confirmatory-sensitivity
family-support-sensitivity-low,central,peer-present,0.1,0.10576566810839043,0.13477515367548443,10,10,0.005765668108390423,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,family-absent-everywhere,0.01,0.011810868432024177,0.017033224580618938,10,10,0.001810868432024177,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,family-absent-everywhere,0.05,0.0535049139910323,0.07231948719055394,10,10,0.0035049139910322963,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,family-absent-everywhere,0.1,0.10629763910412285,0.13768319515243446,10,10,0.006297639104122843,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,full-exposure,0.01,0.01124035492902187,0.016681764396663263,10,10,0.0012403549290218707,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,full-exposure,0.05,0.053511534529519914,0.07051916355898515,10,10,0.0035115345295199107,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,full-exposure,0.1,0.10676907104226308,0.13989869486232867,10,10,0.0067690710422630695,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,peer-present,0.01,0.011438424020932137,0.016516091238884343,10,10,0.0014384240209321369,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,peer-present,0.05,0.053349854450902526,0.07107777211587837,10,10,0.003349854450902523,B-confirmatory-sensitivity
family-support-sensitivity-low,fedavg,peer-present,0.1,0.10600747979234885,0.13581315342356426,10,10,0.006007479792348849,B-confirmatory-sensitivity
family-support-sensitivity-low,local,peer-present,0.01,0.011275121833268112,0.01605899573328981,10,10,0.0012751218332681113,B-confirmatory-sensitivity
family-support-sensitivity-low,local,peer-present,0.05,0.05354884575127833,0.0699383059808738,10,10,0.003548845751278326,B-confirmatory-sensitivity
family-support-sensitivity-low,local,peer-present,0.1,0.10494130955183048,0.13483303136690847,10,10,0.004941309551830475,B-confirmatory-sensitivity
model-family-replication-linear,central,family-absent-everywhere,0.01,0.010908619364774436,0.015968690122994254,10,10,0.0009086193647744358,B-confirmatory-sensitivity
model-family-replication-linear,central,family-absent-everywhere,0.05,0.05180173636819272,0.0681397127606727,10,10,0.0018017363681927176,B-confirmatory-sensitivity
model-family-replication-linear,central,family-absent-everywhere,0.1,0.10153275174057033,0.12468128480736432,10,10,0.0015327517405703261,B-confirmatory-sensitivity
model-family-replication-linear,central,full-exposure,0.01,0.01081796118856146,0.016198945460766674,10,10,0.0008179611885614606,B-confirmatory-sensitivity
model-family-replication-linear,central,full-exposure,0.05,0.050694221204800584,0.06532638937200988,10,10,0.0006942212048005811,B-confirmatory-sensitivity
model-family-replication-linear,central,full-exposure,0.1,0.10300458959919723,0.12784151804275723,10,10,0.0030045895991972216,B-confirmatory-sensitivity
model-family-replication-linear,central,peer-present,0.01,0.010873325495731818,0.016335257347075034,10,10,0.0008733254957318179,B-confirmatory-sensitivity
model-family-replication-linear,central,peer-present,0.05,0.05081772108972295,0.06617786310320245,10,10,0.0008177210897229448,B-confirmatory-sensitivity
model-family-replication-linear,central,peer-present,0.1,0.10187393718408481,0.1267696784174761,10,10,0.001873937184084809,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,family-absent-everywhere,0.01,0.010720223456493701,0.015076946515256862,10,10,0.0007202234564937012,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,family-absent-everywhere,0.05,0.05162847657084953,0.06828750396557809,10,10,0.0016284765708495241,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,family-absent-everywhere,0.1,0.10327830681279973,0.12797087219579842,10,10,0.003278306812799725,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,full-exposure,0.01,0.011127552063977806,0.016310445557579215,10,10,0.001127552063977806,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,full-exposure,0.05,0.05108265725198576,0.06646978321784971,10,10,0.0010826572519857594,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,full-exposure,0.1,0.1031371181113572,0.12789265921740822,10,10,0.0031371181113571955,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,peer-present,0.01,0.011090410492200917,0.016043499818506148,10,10,0.0010904104922009172,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,peer-present,0.05,0.05128399855866905,0.06657472277028349,10,10,0.00128399855866905,B-confirmatory-sensitivity
model-family-replication-linear,fedavg,peer-present,0.1,0.10235700313614768,0.12676780136466267,10,10,0.002357003136147673,B-confirmatory-sensitivity
model-family-replication-linear,local,peer-present,0.01,0.01069460484629838,0.015454601503296073,10,10,0.00069460484629838,B-confirmatory-sensitivity
model-family-replication-linear,local,peer-present,0.05,0.05136616538014194,0.06499581937185671,10,10,0.0013661653801419343,B-confirmatory-sensitivity
model-family-replication-linear,local,peer-present,0.1,0.10213521346075813,0.12698251243319597,10,10,0.002135213460758123,B-confirmatory-sensitivity
model-family-replication-trees,central,family-absent-everywhere,0.01,0.010452200638861004,0.013853166141060297,10,10,0.00045220063886100385,B-confirmatory-sensitivity
model-family-replication-trees,central,family-absent-everywhere,0.05,0.05095511147293623,0.06446763228342232,10,10,0.0009551114729362264,B-confirmatory-sensitivity
model-family-replication-trees,central,family-absent-everywhere,0.1,0.10473626759396856,0.13143901492013438,10,10,0.004736267593968557,B-confirmatory-sensitivity
model-family-replication-trees,central,full-exposure,0.01,0.010266887437150067,0.013317563397230558,10,10,0.0002668874371500665,B-confirmatory-sensitivity
model-family-replication-trees,central,full-exposure,0.05,0.05263950762303706,0.06723122920504401,10,10,0.0026395076230370587,B-confirmatory-sensitivity
model-family-replication-trees,central,full-exposure,0.1,0.10393971406202937,0.12857277541234152,10,10,0.003939714062029365,B-confirmatory-sensitivity
model-family-replication-trees,central,peer-present,0.01,0.010169298399765802,0.013019100220610253,10,10,0.00016929839976580208,B-confirmatory-sensitivity
model-family-replication-trees,central,peer-present,0.05,0.051291974930160945,0.06567851260413385,10,10,0.0012919749301609426,B-confirmatory-sensitivity
model-family-replication-trees,central,peer-present,0.1,0.10307903281712245,0.12909596491164313,10,10,0.0030790328171224485,B-confirmatory-sensitivity
model-family-replication-trees,local,peer-present,0.01,0.010393231242158237,0.013470768427982649,10,10,0.000393231242158237,B-confirmatory-sensitivity
model-family-replication-trees,local,peer-present,0.05,0.050937411209034,0.06287750986844387,10,10,0.0009374112090339976,B-confirmatory-sensitivity
model-family-replication-trees,local,peer-present,0.1,0.10297733126278437,0.12886450271880395,10,10,0.0029773312627843634,B-confirmatory-sensitivity
natural-scarcity,central,family-absent-everywhere,0.01,0.010821908445250413,0.014640885002943999,10,10,0.0008219084452504126,B-confirmatory-sensitivity
natural-scarcity,central,family-absent-everywhere,0.05,0.051558246824325624,0.06422776392784227,10,10,0.001558246824325621,B-confirmatory-sensitivity
