evidence_class,experiment,learner,contrast,aggregate_metric,recall_metric,seed_count,aggregate_mean,aggregate_ci_low,aggregate_ci_high,aggregate_verdict,recall_mean,recall_ci_low,recall_ci_high,recall_verdict,material_gain_threshold,verdicts_opposed,masked_gain,masked_loss,sign_disagreement_seeds,gain_missed_seeds,false_reassurance_seeds,opposite_conclusion_seeds,seed_correlation
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.0034550941711542714,0.0009298088646812107,0.006096237627044195,interval-above-reference,0.06541434944309817,0.04671968091408596,0.0847037676947724,interval-above-reference,0.03,false,false,false,2,1,0,1,-0.32014400119826125
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.0034550941711542714,0.0009298088646812107,0.006096237627044195,interval-above-reference,0.07477323035111169,0.0534645458003678,0.0984108905406193,interval-above-reference,0.03,false,false,false,2,2,0,2,0.03258993631115922
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-local,auroc,own-domain-unseen-recall,10,-0.01191932224924679,-0.015216184993860165,-0.009576213908877652,interval-below-reference,0.05529962304558733,0.005790860557251221,0.12957927611606687,interval-above-reference,0.03,true,false,false,6,5,0,5,-0.21166843471446234
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-local,auroc,federation-unseen-recall,10,-0.01191932224924679,-0.015216184993860165,-0.009576213908877652,interval-below-reference,0.08083842590389537,0.042151279979878636,0.1281222987267093,interval-above-reference,0.03,true,true,false,8,7,0,7,-0.04177592654192736
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-local,auprc,own-domain-unseen-recall,10,-0.022067268471766842,-0.030114564537229056,-0.016087523500183505,interval-below-reference,0.05529962304558733,0.005790860557251221,0.12957927611606687,interval-above-reference,0.03,true,false,false,6,5,0,5,0.29271960861033264
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-local,auprc,federation-unseen-recall,10,-0.022067268471766842,-0.030114564537229056,-0.016087523500183505,interval-below-reference,0.08083842590389537,0.042151279979878636,0.1281222987267093,interval-above-reference,0.03,true,true,false,8,7,0,7,0.28256049805496686
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.004175798299375699,0.003109295877442703,0.005203809608209797,interval-above-reference,0.04161143612175565,0.0009309617577788576,0.090902108251183,interval-above-reference,0.03,false,false,false,2,0,1,1,0.5306869552079211
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.004175798299375699,0.003109295877442703,0.005203809608209797,interval-above-reference,0.06392736322463749,0.03784267837149842,0.07721770397684855,interval-above-reference,0.03,false,false,false,1,0,0,0,0.6204863157126448
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.00026324038660935356,-0.007950105564256044,0.003610004054387363,interval-includes-reference,0.04161143612175565,0.0009309617577788576,0.090902108251183,interval-above-reference,0.03,false,false,false,2,2,0,2,0.5368437216276091
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.00026324038660935356,-0.007950105564256044,0.003610004054387363,interval-includes-reference,0.06392736322463749,0.03784267837149842,0.07721770397684855,interval-above-reference,0.03,false,true,false,3,3,0,3,0.7763894169655255
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-local,auroc,own-domain-unseen-recall,10,-0.0007468031901316175,-0.0034886047313915916,0.0010718012436696258,interval-includes-reference,0.09365617411813083,0.017874335715270306,0.1515367494492328,interval-above-reference,0.03,false,false,false,5,5,0,5,-0.2503074705001102
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-local,auroc,federation-unseen-recall,10,-0.0007468031901316175,-0.0034886047313915916,0.0010718012436696258,interval-includes-reference,0.13531982457190492,0.09265537758648457,0.19210441651856425,interval-above-reference,0.03,false,true,false,6,5,0,5,-0.01973035300600589
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-local,auprc,own-domain-unseen-recall,10,-0.0042749086054751475,-0.008524447455165701,-0.0010649547037725137,interval-below-reference,0.09365617411813083,0.017874335715270306,0.1515367494492328,interval-above-reference,0.03,true,false,false,8,7,1,8,-0.3671440524912716
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-local,auprc,federation-unseen-recall,10,-0.0042749086054751475,-0.008524447455165701,-0.0010649547037725137,interval-below-reference,0.13531982457190492,0.09265537758648457,0.19210441651856425,interval-above-reference,0.03,true,true,false,7,7,0,7,-0.033586194018480384
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.0008973735027704932,-0.0008573625994790601,0.0027163984639362927,interval-includes-reference,0.0332426485602252,0.01744297697516182,0.04613314123122714,interval-above-reference,0.03,false,false,false,5,3,0,3,0.015957023817750424
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.0008973735027704932,-0.0008573625994790601,0.0027163984639362927,interval-includes-reference,0.048092100197908993,0.038040194595644915,0.06102468306608254,interval-above-reference,0.03,false,true,false,3,2,0,2,0.12009949166608516
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.0013448750193752357,-0.001345038011087413,0.0029298942943895984,interval-includes-reference,0.0332426485602252,0.01744297697516182,0.04613314123122714,interval-above-reference,0.03,false,false,false,4,1,0,1,-0.18876554182958596
C-post-confirmatory-evidence-preserving,replication-family-set,fedprox,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.0013448750193752357,-0.001345038011087413,0.0029298942943895984,interval-includes-reference,0.048092100197908993,0.038040194595644915,0.06102468306608254,interval-above-reference,0.03,false,true,false,2,1,0,1,0.35214596929053005
