mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,learner,comparison,measure,within_tolerance
0.00008977460520164238,-0.000904353642965039,-0.011055122342490335,0.010657612428460254,4,10,C-post-confirmatory-evidence-preserving,central,versus-local,known-family-recall-change,true
0.032635255372908775,0.03865282309485768,0.018188551363325586,0.044372825404009594,9,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,known-family-recall-change,
0.0008942998072925701,0.0008641851964857963,-0.0008452571130380906,0.002418097742884956,7,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,realised-fpr-change,true
0.0011065597238228136,0.002173200503182888,-0.0012632073803827643,0.0027680948351321327,7,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,realised-fpr-change,true
0.00021225991653024343,0.0009007578245609736,-0.0010240315264243708,0.0011758024154471909,7,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,realised-fpr-change,
0.00042716242809654885,-0.00004810665452563076,-0.0006628517391512926,0.001600377231278807,5,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,realised-fpr-change,true
-0.0004671373791960212,-0.000513950237813459,-0.0020700284394258653,0.001011128186734828,4,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,realised-fpr-change,
0.0012307948917685912,0.0009765382620147631,-0.0004229575712534588,0.002665033400961689,6,10,C-post-confirmatory-evidence-preserving,blend,versus-local,realised-fpr-change,true
0.00033649508447602115,0.000021804496875447305,-0.0005423358380131305,0.001281226644439055,5,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,realised-fpr-change,
0.0009163318773377609,0.001460707006044986,-0.0006622496055576888,0.0020153979383955235,7,10,C-post-confirmatory-evidence-preserving,central,versus-local,realised-fpr-change,true
0.000022032070045190783,-0.0003891841847080066,-0.0009379503918178763,0.0013955607804028462,4,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,realised-fpr-change,
0.06982156827942963,0.06095726569267035,0.04325828435489077,0.09552511347113841,10,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,full-exposure-gap,
0.06210527245564962,0.08148297456388309,0.02169088327054443,0.08922840567366322,9,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,full-exposure-gap,
-0.007716295823780012,0.009340051155890483,-0.03793789181144166,0.0075206404209662205,6,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,full-exposure-gap,
0.0942927809250205,0.08738778703349481,0.056784888117544896,0.13833192584803866,10,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,full-exposure-gap,
0.024471212645590868,0.01959086826389267,-0.003776661872479393,0.06281844086068751,7,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,full-exposure-gap,
0.07396634316225503,0.061452943317596154,0.049477061012593686,0.10382873669485722,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,full-exposure-gap,
0.004144774882825397,0.0030602437908295865,-0.008802723433720917,0.017450798770660778,7,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,full-exposure-gap,
0.049093015911499685,0.041390725681153206,0.02029144711338454,0.0778671812390401,9,10,C-post-confirmatory-evidence-preserving,central,versus-local,full-exposure-gap,
-0.020728552367929955,-0.035431696865226237,-0.04560463670807743,0.027845057850975387,2,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,full-exposure-gap,
0.6252723416774875,0.6291321492332557,0.4761850678546384,0.770361403810614,10,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,oracle-gap-recovery,
0.6408728527517225,0.6156614030888719,0.43953946607153255,0.8472280780348352,10,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,oracle-gap-recovery,
0.015600511074235157,-0.04357494426870048,-0.0699123816309853,0.1527134040188215,4,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,oracle-gap-recovery,
0.5577350128276175,0.6001041893504726,0.3756492270735043,0.7110169925318108,10,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,oracle-gap-recovery,
-0.06753732884986995,-0.09508523532273466,-0.22544115643380463,0.11310764393308842,3,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,oracle-gap-recovery,
0.6256019200108002,0.6226999593817784,0.5057138804533136,0.7474517033593883,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,oracle-gap-recovery,
0.00032957833331277443,-0.01256627968978008,-0.06808897683434847,0.0919271114599164,3,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,oracle-gap-recovery,
0.7061761150391705,0.7805424258504098,0.48433523505125,0.8667208915558864,10,10,C-post-confirmatory-evidence-preserving,central,versus-local,oracle-gap-recovery,
0.08090377336168308,0.1890263754275907,-0.17287093489305858,0.21439930019720713,8,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,oracle-gap-recovery,
