experiment,family,learner,local_recall,absent_recall,peer_recall,full_recall,ctk_gain,trials,seed_count,novelty,classification
controlled-exposure,leadbolt,fedavg,0.3042107840395382,0.3087486790367532,0.5852855567782247,0.6452579664889423,0.2765368777414715,817.9,10,2.7129486906531946,rescued
controlled-exposure,revmob,fedavg,0.2597512004745667,0.1826582888356476,0.5253100053417785,0.5574376074356527,0.34265171650613085,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
family-permutation-control,adwo,central,0.547473198115634,0.6278786179346909,0.6258442706816634,,-0.0020343472530275518,899.2,10,2.0631458838286605,not-classifiable-without-full-exposure
family-permutation-control,airpush,central,0.6013220941199133,0.7508133606382192,0.7485577647668008,,-0.0022555958714183698,2201.0,10,2.5482840362252213,not-classifiable-without-full-exposure
family-permutation-control,dowgin,central,0.5883439256477883,0.7329129689542111,0.731224119099937,,-0.0016888498542741103,5460.7,10,1.88928102476,not-classifiable-without-full-exposure
family-permutation-control,frmy,central,0.6435520436696427,0.8170327502429862,0.8162286498460475,,-0.0008041003969387284,352.2,10,2.645777827448137,not-classifiable-without-full-exposure
family-permutation-control,gappusin,central,0.6116821828461533,0.7917202310454245,0.8003970383673146,,0.008676807321889978,1340.6,10,1.590757471258689,not-classifiable-without-full-exposure
family-permutation-control,hiddad,central,0.5604483882818229,0.6779719712518698,0.6657309696627827,,-0.012241001589087174,324.9,10,4.189897997223157,not-classifiable-without-full-exposure
family-permutation-control,leadbolt,central,0.6167837144997282,0.8062199453199257,0.8125829605372863,,0.006363015217360457,732.2,10,2.7129486906531946,not-classifiable-without-full-exposure
family-permutation-control,revmob,central,0.5519206359889456,0.6868689422386183,0.6813815704135675,,-0.005487371825050713,562.0,10,3.319853285343657,not-classifiable-without-full-exposure
family-permutation-control,adwo,fedavg,0.547473198115634,0.5605812561933079,0.5631906356515788,,0.0026093794582709496,899.2,10,2.0631458838286605,not-classifiable-without-full-exposure
family-permutation-control,airpush,fedavg,0.6013220941199133,0.702530145018935,0.6957835608032787,,-0.006746584215656248,2201.0,10,2.5482840362252213,not-classifiable-without-full-exposure
family-permutation-control,dowgin,fedavg,0.5883439256477883,0.6809482393343325,0.6824155632577,,0.0014673239233675528,5460.7,10,1.88928102476,not-classifiable-without-full-exposure
family-permutation-control,frmy,fedavg,0.6435520436696427,0.7648059132107955,0.7693639744858076,,0.004558061275012232,352.2,10,2.645777827448137,not-classifiable-without-full-exposure
family-permutation-control,gappusin,fedavg,0.6116821828461533,0.7520557083956645,0.7475067667234574,,-0.004548941672207057,1340.6,10,1.590757471258689,not-classifiable-without-full-exposure
family-permutation-control,hiddad,fedavg,0.5604483882818229,0.6335305661421321,0.62847390926331,,-0.005056656878822063,324.9,10,4.189897997223157,not-classifiable-without-full-exposure
family-permutation-control,leadbolt,fedavg,0.6167837144997282,0.7552229003877043,0.7548175544593871,,-0.00040534592831717453,732.2,10,2.7129486906531946,not-classifiable-without-full-exposure
family-permutation-control,revmob,fedavg,0.5519206359889456,0.6347766416091944,0.6315597647605251,,-0.00321687684866932,562.0,10,3.319853285343657,not-classifiable-without-full-exposure
family-support-sensitivity-high,adwo,central,0.6727845804527284,0.47767258909945876,0.5400039205512748,0.5034048044743675,0.062331331451816116,900.7,10,2.0631458838286605,poorly-rescued-under-full-exposure
family-support-sensitivity-high,airpush,central,0.6708761673680591,0.6915079303688201,0.7991140710424636,0.8727868790105395,0.10760614067364342,2300.2,10,2.5482840362252213,rescued
family-support-sensitivity-high,dowgin,central,0.6706282461416705,0.8445917180237237,0.8533224233511352,0.8547868713061799,0.008730705327411391,5863.0,10,1.88928102476,rescued
family-support-sensitivity-high,gappusin,central,0.3444254155448035,0.3561593552684759,0.40340145513169234,0.4610673333271781,0.0472420998632165,1481.0,10,1.590757471258689,poorly-rescued-under-full-exposure
family-support-sensitivity-high,hiddad,central,0.23376926665625675,0.20305304601837598,0.2791277701115233,0.3034453320425247,0.07607472409314732,373.7,10,4.189897997223157,poorly-rescued-under-full-exposure
family-support-sensitivity-high,leadbolt,central,0.27797207081582936,0.31671391029662105,0.6245693450029777,0.6461942093905249,0.3078554347063567,809.9,10,2.7129486906531946,rescued
family-support-sensitivity-high,revmob,central,0.29805762889089876,0.2891856089448339,0.5535376526675002,0.5613866225109826,0.2643520437226664,564.0,10,3.319853285343657,poorly-rescued-under-full-exposure
family-support-sensitivity-high,adwo,fedavg,0.6727845804527284,0.5609295562158766,0.64536753562081,0.652283513435141,0.08443797940493343,900.7,10,2.0631458838286605,rescued
family-support-sensitivity-high,airpush,fedavg,0.6708761673680591,0.7279816663206382,0.8169545982671238,0.8655715833020425,0.08897293194648548,2300.2,10,2.5482840362252213,rescued
family-support-sensitivity-high,dowgin,fedavg,0.6706282461416705,0.7573163263830812,0.7599896400987897,0.7532186949671374,0.0026733137157084253,5863.0,10,1.88928102476,rescued
family-support-sensitivity-high,gappusin,fedavg,0.3444254155448035,0.3038844061028438,0.3471637735423892,0.4009414759788827,0.043279367439545365,1481.0,10,1.590757471258689,poorly-rescued-under-full-exposure
family-support-sensitivity-high,hiddad,fedavg,0.23376926665625675,0.24571882725028896,0.28699802652077644,0.38317136534905333,0.04127919927048749,373.7,10,4.189897997223157,poorly-rescued-under-full-exposure
family-support-sensitivity-high,leadbolt,fedavg,0.27797207081582936,0.35260666829347265,0.6458713757854735,0.6820239558254879,0.29326470749200084,809.9,10,2.7129486906531946,rescued
family-support-sensitivity-high,revmob,fedavg,0.29805762889089876,0.21194737157632745,0.5367247259087271,0.5754934979096625,0.3247773543323996,564.0,10,3.319853285343657,poorly-rescued-under-full-exposure
family-support-sensitivity-low,adwo,central,0.6621434134104999,0.5468855941869978,0.5999817008226465,0.5848223782921687,0.05309610663564862,919.4,10,2.0631458838286605,poorly-rescued-under-full-exposure
family-support-sensitivity-low,airpush,central,0.67858988422182,0.6951720462626264,0.7869719478998487,0.8594977234982293,0.09179990163722225,2447.7,10,2.5482840362252213,rescued
family-support-sensitivity-low,dowgin,central,0.6724336761265338,0.8551671248716506,0.8621432798244137,0.8658584141906307,0.006976154952763325,5879.2,10,1.88928102476,rescued
family-support-sensitivity-low,gappusin,central,0.3286764479147092,0.3340820177446694,0.36514360342801855,0.43538874472571276,0.031061585683349168,1506.0,10,1.590757471258689,poorly-rescued-under-full-exposure
family-support-sensitivity-low,hiddad,central,0.3775467557741033,0.2516238843593614,0.271503581111151,0.2743389112111119,0.019879696751789633,381.4,10,4.189897997223157,poorly-rescued-under-full-exposure
family-support-sensitivity-low,leadbolt,central,0.3175865178875644,0.29162461897335007,0.6018403739700495,0.6554445497194166,0.31021575499669946,813.5,10,2.7129486906531946,rescued
family-support-sensitivity-low,revmob,central,0.2763918333687964,0.2750706863680813,0.6211885646375338,0.6709410078871952,0.34611787826945245,591.2,10,3.319853285343657,rescued
family-support-sensitivity-low,adwo,fedavg,0.6621434134104999,0.6281256085525813,0.7162005264512195,0.7447948631183973,0.08807491789863808,919.4,10,2.0631458838286605,rescued
family-support-sensitivity-low,airpush,fedavg,0.67858988422182,0.7124566686726226,0.8016315723508782,0.8621926438939533,0.0891749036782557,2447.7,10,2.5482840362252213,rescued
family-support-sensitivity-low,dowgin,fedavg,0.6724336761265338,0.7975670258678254,0.7957055797908785,0.7945980266922081,-0.0018614460769467822,5879.2,10,1.88928102476,rescued
family-support-sensitivity-low,gappusin,fedavg,0.3286764479147092,0.2890011119180473,0.321879080480316,0.39410575605273246,0.03287796856226874,1506.0,10,1.590757471258689,poorly-rescued-under-full-exposure
family-support-sensitivity-low,hiddad,fedavg,0.3775467557741033,0.2800474758647085,0.2957256461180696,0.3148239668172471,0.015678170253361073,381.4,10,4.189897997223157,poorly-rescued-under-full-exposure
family-support-sensitivity-low,leadbolt,fedavg,0.3175865178875644,0.3225145588414101,0.6495908196139846,0.7066218159520454,0.32707626077257446,813.5,10,2.7129486906531946,rescued
family-support-sensitivity-low,revmob,fedavg,0.2763918333687964,0.22911905670992988,0.5977487913924715,0.6849351761330074,0.3686297346825417,591.2,10,3.319853285343657,rescued
